run,variant,direction,branch,point,ty,type,label,is_user_point,is_special_point,q_H_scaled,H_a3,scaled_l2_norm,Z_or_ZH_scaled,U_or_UH_scaled,P_log_ratio_over_10,M_log_ratio,z_m,u_m_s,m_kg
q-plus,task019_state_scale,upward,1,1,9,EP,1,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
q-plus,task019_state_scale,upward,1,2,0,regular,0,False,False,0.038190919026,0.610038190919026,0.011893444537,-0.01063781952,0.0053189097599,4.2169067478e-06,4.2169067478e-05,9616.963750308936,1.9151812484552224,1.0802749452857924e-09
q-plus,task019_state_scale,upward,1,3,0,regular,0,False,False,0.066834899239,0.610066834899239,0.020810987783,-0.018613912175,0.0093069560874,7.3789204729e-06,7.3789204729e-05,9616.166141043435,1.9191692947827224,1.0803091042678842e-09
q-plus,task019_state_scale,upward,1,4,0,regular,0,False,False,0.10980213981,0.61010980213981,0.034183221805,-0.030574401136,0.015287200568,1.2120870402e-05,0.00012120870402,9614.970092147336,1.9251495392633224,1.0803603331993038e-09
q-plus,task019_state_scale,upward,1,5,0,regular,0,False,False,0.17425585626,0.61017425585626,0.054232395038,-0.048506925706,0.024253462853,1.9231386916e-05,0.00019231386916000002,9613.176839690335,1.9341158015483224,1.080437155130392e-09
q-plus,task019_state_scale,upward,1,6,0,regular,0,False,False,0.27094284753,0.61027094284753,0.084285519158,-0.075387255402,0.037693627701,2.9891745028e-05,0.00029891745027999997,9610.488806720736,1.9475559663963224,1.080552339739741e-09
q-plus,task019_state_scale,upward,1,7,0,regular,0,False,False,0.41598774345,0.61041598774345,0.12931882246,-0.11566626384,0.05783313192,4.5870101857e-05,0.00045870101857,9606.460905876937,1.9676954706153225,1.0807250080427202e-09
q-plus,task019_state_scale,upward,1,8,0,regular,0,False,False,0.60701967114,0.61060701967114,0.1885371524,-0.16863274501,0.084316372505,6.6889280695e-05,0.00066889280695,9601.164257759936,1.9941787112003224,1.0809521914401135e-09
q-plus,task019_state_scale,upward,1,9,0,regular,0,False,False,0.79808139687,0.61079808139687,0.24765927145,-0.22151317254,0.11075658627,8.7883159684e-05,0.00087883159684,9595.876215006936,2.0206189249653224,1.0811791490578836e-09
q-plus,task019_state_scale,upward,1,10,4,NPR,2,False,False,0.98917281039,0.61098917281039,0.30668536466,-0.27430771195,0.13715385598,0.00010885176696,0.0010885176696,9590.596761065935,2.0470161946753223,1.081405881038038e-09
q-minus,task019_state_scale,downward,1,1,9,EP,1,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
q-minus,task019_state_scale,downward,1,2,0,regular,0,False,False,-0.38184271314,0.60961815728686,0.11914765672,0.10656889722,-0.05328444861,-4.2224961672e-05,-0.00042224961672,9628.684421982936,1.8565778900853225,1.0797733618984944e-09
q-minus,task019_state_scale,downward,1,3,0,regular,0,False,False,-0.59180447668,0.60940819552332,0.18484445745,0.16532989847,-0.082664949235,-6.5492061421e-05,-0.00065492061421,9634.560522107937,1.8271973894603224,1.0795221591782454e-09
q-minus,task019_state_scale,downward,1,4,0,regular,0,False,False,-0.82271979081,0.60917728020919,0.25724704368,0.23008873624,-0.11504436812,-9.1121477505e-05,-0.00091121477505,9641.036405884935,1.7948179705753224,1.0792455194044443e-09
q-minus,task019_state_scale,downward,1,5,0,regular,0,False,False,-1.0766748257,0.6089233251743,0.33705496085,0.30147110294,-0.15073555147,-0.00011935697638,-0.0011935697638,9648.174642554935,1.7591267872253225,1.0789408320649737e-09
q-minus,task019_state_scale,downward,1,6,0,regular,0,False,False,-1.3559623614,0.6086440376386,0.42504391923,0.38017081491,-0.19008540745,-0.000150468302,-0.00150468302,9656.044613751936,1.7197769312453224,1.0786052114801765e-09
q-minus,task019_state_scale,downward,1,7,0,regular,0,False,False,-1.6631020004,0.6083368979996,0.52207475864,0.46695783062,-0.23347891531,-0.00018475411633,-0.0018475411633,9664.723315322935,1.6763834233853223,1.0782354662887116e-09
q-minus,task019_state_scale,downward,1,8,0,regular,0,False,False,-2.0008622981,0.6079991377019,0.62910360592,0.56268733588,-0.28134366794,-0.00022254530753,-0.0022254530753,9674.296265848936,1.6285186707553225,1.077828065247762e-09
q-minus,task019_state_scale,downward,1,9,0,regular,0,False,False,-2.3722849787,0.6076277150213,0.74719341166,0.66831006254,-0.33415503127,-0.0002642087186,-0.002642087186,9684.858538514936,1.5757073074253225,1.0773790988441638e-09
q-minus,task019_state_scale,downward,1,10,4,NPR,2,False,False,-2.7807114131,0.6072192885869,0.87752708975,0.78488404089,-0.39244202045,-0.0003101513594,-0.003101513594,9696.515936349935,1.5174203182453225,1.0768842361199337e-09
q-minus,task019_state_scale,downward,1,11,0,regular,0,False,False,-3.2298115454,0.6067701884546,1.0214225205,0.91358801884,-0.45679400942,-0.00036082517359,-0.0036082517359,9709.386334144936,1.4530683292753224,1.076338676042805e-09
q-minus,task019_state_scale,downward,1,12,0,regular,0,False,False,-3.7236154641,0.6062763845358999,1.1803497312,1.0557368286,-0.52786841432,-0.00041673244586,-0.0041673244586,9723.601215120936,1.3819939243753225,1.0757370926287503e-09
q-minus,task019_state_scale,downward,1,13,0,regular,0,False,False,-4.2665478192,0.6057334521808,1.3559506302,1.2127990378,-0.60639951892,-0.00047843195001,-0.0047843195001,9739.307436040935,1.3034628197753224,1.0750735728918839e-09
q-minus,task019_state_scale,downward,1,14,0,regular,0,False,False,-4.8634652887,0.6051365347113,1.5500617461,1.3864172873,-0.69320864364,-0.00054654595597,-0.0054654595597000005,9756.669260990935,1.2166536950553224,1.0743415465489054e-09
q-minus,task019_state_scale,downward,1,15,0,regular,0,False,False,-5.5196972987,0.6044803027012999,1.7647405168,1.5784318053,-0.78921590265,-0.00062176823694,-0.006217682369400001,9775.870712790937,1.1206464360453223,1.0735337062082406e-09
q-minus,task019_state_scale,downward,1,16,0,regular,0,False,False,-6.241090189,0.603758909811,2.0022957896,1.7909076877,-0.89545384386,-0.00070487324296,-0.0070487324296,9797.118301030936,1.0144084948353225,1.0726419165693118e-09
q-minus,task019_state_scale,downward,1,17,0,regular,0,False,False,-7.0340550018,0.6029659449982,2.2653233357,2.0261666625,-1.0130833313,-0.00079672664006,-0.0079672664006,9820.644198510936,0.8967790073953223,1.0716571108882013e-09
q-minus,task019_state_scale,downward,1,18,0,regular,0,False,False,-7.905619034,0.602094380966,2.5567473605,2.2868242186,-1.1434121093,-0.00089829745269,-0.0089829745269,9846.709954120935,0.7664502293953224,1.070569172659447e-09
q-minus,task019_state_scale,downward,1,19,0,regular,0,False,False,-8.8634812468,0.6011365187532,2.8798692155,2.5758331743,-1.2879165871,-0.0010106720936,-0.010106720936,9875.610849690936,0.6219457515953224,1.0693668001034292e-09
q-minus,task019_state_scale,downward,1,20,4,NPR,3,False,False,-9.9160715433,0.6000839284567,3.2384247916,2.8965350117,-1.4482675058,-0.0011350706217,-0.011350706217,9907.681033430936,0.4615948328953223,1.0680373506233465e-09
q-minus,task019_state_scale,downward,1,21,-4,UZ,4,True,False,-10.0,0.6,3.2671725938,2.9222478261,-1.4611239131,-0.0011450308908,-0.011450308908,9910.252314870935,0.4487384255953224,1.067930976526797e-09
q-minus,task019_state_scale,downward,1,22,0,regular,0,False,False,-11.156441804,0.598843558196,3.6656918829,3.2786942931,-1.6393471466,-0.0012828988041,-0.012828988041000002,9945.896961570936,0.2705151920953224,1.0664596568458979e-09
q-minus,task019_state_scale,downward,1,23,0,regular,0,False,False,-12.426907287,0.597573092713,4.1087377158,3.6749665093,-1.8374832547,-0.0014357181362,-0.014357181362,9985.524183190935,0.07237908399532245,1.0648311449786014e-09
q-minus,task019_state_scale,downward,1,24,0,regular,0,False,False,-12.775982014,0.597224017986,4.2314415679,3.7847161646,-1.8923580823,-0.0014779582758,-0.014779582757999999,9996.499148720935,0.017504256395322493,1.0643814537982358e-09
q-minus,task019_state_scale,downward,1,25,0,regular,0,False,False,-12.871954383,0.597128045617,4.2652510068,3.8149562442,-1.9074781221,-0.0014895906057,-0.014895906056999999,9999.523156680936,0.002384216595322508,1.0642576486369876e-09
q-minus,task019_state_scale,downward,1,26,0,regular,0,False,False,-12.880951279,0.597119048721,4.2684221008,3.8177925568,-1.9088962784,-0.0014906814971,-0.014906814971,9999.806787940935,0.000966060295322313,1.06424603880515e-09
q-minus,task019_state_scale,downward,1,27,0,regular,0,False,False,-12.884325092,0.597115674908,4.2696113257,3.8188562318,-1.9094281159,-0.0014910905974,-0.014910905973999999,9999.913155440936,0.00043422279532245867,1.0642416849803183e-09
q-minus,task019_state_scale,downward,1,28,0,regular,0,False,False,-12.886855443,0.5971131445569999,4.2705032673,3.8196540086,-1.9098270043,-0.0014913974283,-0.014913974283,9999.992933120935,3.5334395322328405e-05,1.064238419562988e-09
q-minus,task019_state_scale,downward,1,29,0,regular,0,False,False,-12.88701359,0.59711298641,4.2705590145,3.8197038704,-1.9098519352,-0.0014914166054,-0.014914166054,9999.997919300937,1.0403495322330869e-05,1.0642382154729416e-09
q-minus,task019_state_scale,downward,1,30,4,NPR,5,False,False,-12.887053127,0.597112946873,4.2705729511,3.8197163357,-1.9098581679,-0.0014914213997,-0.014914213997,9999.999165830935,4.170795322444576e-06,1.06423816445017e-09
q-minus,task019_state_scale,downward,1,31,0,regular,0,False,False,-12.887072895,0.597112927105,4.2705799196,3.8197225685,-1.9098612842,-0.0014914237968,-0.014914237968,9999.999789110936,1.0544953223945441e-06,1.064238138939317e-09
q-minus,task019_state_scale,downward,1,32,0,regular,0,False,False,-12.887077837,0.5971129221629999,4.2705816617,3.8197241267,-1.9098620633,-0.0014914243961,-0.014914243960999999,9999.999944930936,2.753953223244565e-07,1.064238132561338e-09
q-minus,task019_state_scale,downward,1,33,2,LP,6,False,True,-12.887079073,0.597112920927,4.2705820971,3.8197245161,-1.9098622581,-0.0014914245459,-0.014914245459,9999.999983870935,8.05953224158884e-08,1.0642381309671094e-09
q-minus,task019_state_scale,downward,1,-34,-9,MX,7,False,False,-12.887079073,0.597112920927,4.2705820971,3.8197245161,-1.9098622581,-0.0014914245459,-0.014914245459,9999.999983870935,8.05953224158884e-08,1.0642381309671094e-09
hscaled-plus,larger_H_state_scale,upward,1,1,9,EP,1,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
hscaled-plus,larger_H_state_scale,upward,1,-2,-9,MX,2,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
hscaled-minus,larger_H_state_scale,downward,1,1,9,EP,1,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
hscaled-minus,larger_H_state_scale,downward,1,2,-9,MX,2,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
