iteration,residual_norm,augmented_norm,correction_norm,jacobian_condition,min_singular_value,linear_solver,run,step_index,W_a0_m_s,ds_scaled
0,0.4484650316497142,0.4484650316497142,0.0006756452765098744,2031.1624065563803,0.9565813770935888,solve,downward,1,0.5809299259618237,0.2
1,0.000104900637238318,0.000104900637238318,1.523951064862932e-07,2031.98109954757,0.9565857411677875,solve,downward,1,0.5809299259618237,0.2
2,8.246545483006685e-08,8.246545483006685e-08,0.0,2031.9809222779186,0.9565857403753868,not_needed,downward,1,0.5809299259618237,0.2
0,0.7529281970291667,0.7529281970291667,0.0011293789554280948,2122.624397754803,0.9542698571291878,solve,downward,2,0.5571514677112434,0.25
1,0.0002943347063353853,0.0002943347063353853,4.2643566541496197e-07,2124.056865440197,0.9542776891224969,solve,downward,2,0.5571514677112434,0.25
2,5.845773716276168e-08,5.845773716276168e-08,0.0,2124.057153282872,0.9542776957714685,not_needed,downward,2,0.5571514677112434,0.25
0,1.2909210584594712,1.2909210584594712,0.0019250780858733963,2248.677229158916,0.9510184129673894,solve,downward,3,0.5275317516653732,0.3125
1,0.0008611402016587647,0.0008611402016587647,1.242528650864115e-06,2251.267517883982,0.9510330952336974,solve,downward,3,0.5275317516653732,0.3125
2,4.8614908002034917e-08,4.8614908002034917e-08,0.0,2251.2667272695253,0.9510330954696549,not_needed,downward,3,0.5275317516653732,0.3125
0,1.8174773996353453,1.8174773996353453,0.0026905812287428836,2408.6278916620463,0.9468393619839576,solve,downward,4,0.4945145469241129,0.35
1,0.001696903019938748,0.001696903019938748,2.4369841019826645e-06,2412.5070546132797,0.9468623770073331,solve,downward,4,0.4945145469241129,0.35
2,2.85527767045062e-08,2.85527767045062e-08,0.0,2412.5026404376104,0.9468623495458963,not_needed,downward,4,0.4945145469241129,0.35
0,2.068693343073598,2.068693343073598,0.0030364793461873695,2592.9340293174077,0.942002399596698,solve,downward,5,0.4616923203465543,0.35
1,0.0021837048653211883,0.0021837048653211883,3.119672158926573e-06,2597.6366856492737,0.9420317860830899,solve,downward,5,0.4616923203465543,0.35
2,3.356411506080749e-08,3.356411506080749e-08,0.0,2597.632852908605,0.9420317652615573,not_needed,downward,5,0.4616923203465543,0.35
0,2.3699256194739595,2.3699256194739595,0.0034442176639764245,2806.422176572063,0.9363508028685203,solve,downward,6,0.4291021717355661,0.35
1,0.0028461132425650934,0.0028461132425650934,4.0383926528737875e-06,2812.1735406932758,0.9363890248421849,solve,downward,6,0.4291021717355661,0.35
2,6.334253944203756e-09,6.334253944203756e-09,0.0,2812.166798285283,0.9363889818754226,not_needed,downward,6,0.4291021717355661,0.35
0,2.7337338527638595,2.7337338527638595,0.003926682199586241,3056.1704405810347,0.929720525617004,solve,downward,7,0.3967904993362511,0.35
1,0.003759502388859898,0.003759502388859898,5.28665252521024e-06,3063.2660198235026,0.9297712204442827,solve,downward,7,0.3967904993362511,0.35
2,8.998390288180619e-09,8.998390288180619e-09,0.0,3063.2576239038535,0.9297711609594667,not_needed,downward,7,0.3967904993362511,0.35
0,3.176221000346176,3.176221000346176,0.004499254796428757,3351.546369716806,0.9219166109396658,solve,downward,8,0.3648157888228719,0.35
1,0.005034011587322811,0.005034011587322811,6.99725946166272e-06,3360.3825184249654,0.9219852740983298,solve,downward,8,0.3648157888228719,0.35
2,6.318522533412481e-08,6.318522533412481e-08,0.0,3360.3687648361383,0.9219851696730308,not_needed,downward,8,0.3648157888228719,0.35
0,3.718236509601145,3.718236509601145,0.005179761831169645,3705.104618293928,0.9127135794065183,solve,downward,9,0.33325227076767333,0.35
1,0.00683226846495478,0.00683226846495478,9.357800647324129e-06,3716.202489276243,0.912808516980552,solve,downward,9,0.33325227076767333,0.35
2,1.2289422337160143e-07,1.2289422337160143e-07,8.454088519965496e-11,3716.1837936866755,0.9128083537975964,solve,downward,9,0.33325227076767333,0.35
3,8.295805234620578e-08,8.295805234620578e-08,0.0,3716.183787274659,0.9128083537723778,not_needed,downward,9,0.33325227076767333,0.35
0,4.386400634002456,4.386400634002456,0.005987685432906244,4133.847941445135,0.90186272279248,solve,downward,10,0.30219463784965794,0.35
1,0.009394156162926215,0.009394156162926215,1.2627799936281536e-05,4147.902178707714,0.9019966021125427,solve,downward,10,0.30219463784965794,0.35
2,1.3885798191479095e-07,1.3885798191479095e-07,9.503522551344608e-11,4147.872484367706,0.9019963229021905,solve,downward,10,0.30219463784965794,0.35
3,8.252545000198949e-08,8.252545000198949e-08,0.0,4147.872483150808,0.9019963229039171,not_needed,downward,10,0.30219463784965794,0.35
0,5.214518597030581,5.214518597030581,0.006941963016069434,4661.028594597006,0.8891129341079393,solve,downward,11,0.2717639275841376,0.35
1,0.013067102621526942,0.013067102621526942,1.7150414898518303e-05,4678.938830159651,0.8893048500424134,solve,downward,11,0.2717639275841376,0.35
2,9.21495371100238e-08,9.21495371100238e-08,0.0,4678.894494825245,0.8893043796846366,not_needed,downward,11,0.2717639275841376,0.35
0,6.244071935480953,6.244071935480953,0.00805608706153657,5318.617887757503,0.87425429010511,solve,downward,12,0.24211439294180093,0.35
1,0.018333634062822658,0.018333634062822658,2.3338780386403176e-05,5341.509779753181,0.874532351435279,solve,downward,12,0.24211439294180093,0.35
2,2.2105369291051665e-07,2.2105369291051665e-07,2.0757663665162775e-10,5341.443288642256,0.8745315507541629,solve,downward,12,0.24211439294180093,0.35
3,5.814006944745706e-08,5.814006944745706e-08,0.0,5341.4452372037795,0.8745315547351374,not_needed,downward,12,0.24211439294180093,0.35
0,7.52342165312168,7.52342165312168,0.00932881798844675,6150.535338976029,0.857195027883581,solve,downward,13,0.21344050392861535,0.35
1,0.025811459650384422,0.025811459650384422,3.159234915391031e-05,6179.738370227389,0.8575985838589977,solve,downward,13,0.21344050392861535,0.35
2,3.8998527000483524e-07,3.8998527000483524e-07,3.752420197326669e-10,6179.6369511904195,0.8575972207585704,solve,downward,13,0.21344050392861535,0.35
3,1.8606166043961486e-07,1.8606166043961486e-07,7.937152331758834e-11,6179.63694829676,0.8575972207507251,solve,downward,13,0.21344050392861535,0.35
4,1.285955754439093e-07,1.285955754439093e-07,5.485598376222238e-11,6179.63695052428,0.8575972207625112,solve,downward,13,0.21344050392861535,0.35
5,9.976452687776641e-09,9.976452687776641e-09,0.0,6179.636960029256,0.8575972207684348,not_needed,downward,13,0.21344050392861535,0.35
0,9.103430096823708,9.103430096823708,0.010728908552754154,7216.563248046565,0.8380761845009376,solve,downward,14,0.1859818892684016,0.35
1,0.036155067379455154,0.036155067379455154,4.206519314546965e-05,7253.435114217419,0.8386552165454081,solve,downward,14,0.1859818892684016,0.35
2,5.770736961088647e-07,5.770736961088647e-07,6.507728815908303e-10,7253.292688494407,0.8386529601694073,solve,downward,14,0.1859818892684016,0.35
3,2.108752906166991e-07,2.108752906166991e-07,7.822574565324857e-11,7253.290063603835,0.8386529573100494,solve,downward,14,0.1859818892684016,0.35
4,1.3862287981717127e-07,1.3862287981717127e-07,5.1424145202404695e-11,7253.292695949066,0.8386529601301327,solve,downward,14,0.1859818892684016,0.35
5,9.725382148903522e-09,9.725382148903524e-09,0.0,7253.292669761138,0.8386529601013601,not_needed,downward,14,0.1859818892684016,0.35
0,11.026431169218059,11.026431169218059,0.012174721044419372,8596.391946514574,0.8174045724904335,solve,downward,15,0.16002194604642822,0.35
1,0.04973858696747356,0.04973858696747356,5.4210698668005555e-05,8641.960998095552,0.8182118186810537,solve,downward,15,0.16002194604642822,0.35
2,1.009289878162924e-06,1.009289878162924e-06,1.0813212437385936e-09,8641.754250033617,0.8182082407498605,solve,downward,15,0.16002194604642822,0.35
3,5.780266818304183e-08,5.780266818304183e-08,0.0,8641.754261017537,0.8182082406705528,not_needed,downward,15,0.16002194604642822,0.35
0,13.306865584920681,13.306865584920681,0.0135167994378645,10392.748316908695,0.7961393160387352,solve,downward,16,0.13587374920105072,0.35
1,0.06601857312364642,0.06601857312364642,6.618959422119059e-05,10447.074719702243,0.7972100439979624,solve,downward,16,0.13587374920105072,0.35
2,1.575138425447869e-06,1.575138425447869e-06,1.595822761686012e-09,10446.811296013477,0.7972048334510302,solve,downward,16,0.13587374920105072,0.35
3,3.5008838043925237e-07,3.5008838043925237e-07,9.457952070507528e-11,10446.811330970295,0.7972048333522713,solve,downward,16,0.13587374920105072,0.35
4,3.0738154463897887e-07,3.0738154463897887e-07,8.304355841147098e-11,10446.807572850843,0.797204831719438,solve,downward,16,0.13587374920105072,0.35
5,1.7238996463916243e-07,1.7238996463916243e-07,4.657711017565042e-11,10446.807543013538,0.7972048317048285,solve,downward,16,0.13587374920105072,0.35
6,3.4580185858746066e-07,3.4580185858746066e-07,9.342845264582177e-11,10446.807559028395,0.7972048317028936,solve,downward,16,0.13587374920105072,0.35
7,9.537933018993933e-08,9.537933018993933e-08,0.0,10446.807575624136,0.7972048317182135,not_needed,downward,16,0.13587374920105072,0.35
0,15.904516493461411,15.904516493461411,0.014542724771909842,12732.659701612123,0.7756234097402611,solve,downward,17,0.1138473041003788,0.35
1,0.08273300003425067,0.08273300003425067,7.467658325179785e-05,12794.210756217963,0.7769446983742943,solve,downward,17,0.1138473041003788,0.35
2,2.2009821161651343e-06,2.2009821161651343e-06,1.9807825748452617e-09,12793.89312481096,0.7769379599365632,solve,downward,17,0.1138473041003788,0.35
3,1.875680139038109e-09,1.8756801390381148e-09,0.0,12793.888610757727,0.7769379586477292,not_needed,downward,17,0.1138473041003788,0.35
0,7.581059830558265,7.581059830558265,0.006336609150041315,14624.309915636848,0.7658211810429572,solve,downward,18,0.10078422793567171,0.22782355800930665
1,0.016176167217680882,0.016176167217680882,1.3431007530901017e-05,14651.04026426579,0.766394317648837,solve,downward,18,0.10078422793567171,0.22782355800930665
2,8.724834826319845e-08,8.724834826319845e-08,0.0,14650.98860768178,0.7663931079840708,not_needed,downward,18,0.10078422793567171,0.22782355800930665
0,0.028842765568862064,0.028842765568862064,2.3825127445109943e-05,14754.084462688224,0.7668626817021824,solve,downward,19,0.10001767169930165,0.013968883563975862
1,4.060104705070902e-07,4.060104705070902e-07,1.9052466078657246e-10,14754.18070764544,0.7668645579615526,solve,downward,19,0.10001767169930165,0.013968883563975862
2,1.1557518142622941e-07,1.1557518142622941e-07,2.2973996260867755e-11,14754.185907198596,0.766864558615174,solve,downward,19,0.10001767169930165,0.013968883563975862
3,2.2852121618801913e-07,2.2852121618801913e-07,4.5419114309673023e-11,14754.175537408744,0.7668645572863362,solve,downward,19,0.10001767169930165,0.013968883563975862
4,4.531951121424657e-07,4.531951121424657e-07,9.007034994544838e-11,14754.180731936822,0.7668645579589363,solve,downward,19,0.10001767169930165,0.013968883563975862
5,3.695630158081515e-07,3.695630158081515e-07,7.345187958893575e-11,14754.175542357185,0.7668645572779305,solve,downward,19,0.10001767169930165,0.013968883563975862
6,1.9956682356341645e-07,1.9956682356341645e-07,3.966256958217774e-11,14754.1807056831,0.7668645579470369,solve,downward,19,0.10001767169930165,0.013968883563975862
7,3.9251249289968504e-07,3.9251249289968504e-07,7.800939413965446e-11,14754.180735877677,0.7668645579471514,solve,downward,19,0.10001767169930165,0.013968883563975862
8,2.4885113901634346e-07,2.4885113901634346e-07,4.946089366179711e-11,14754.18073793869,0.7668645579472088,solve,downward,19,0.10001767169930165,0.013968883563975862
9,3.567901969645613e-08,3.567901969645613e-08,0.0,14754.175509923185,0.7668645572832955,not_needed,downward,19,0.10001767169930165,0.013968883563975862
0,0.014837587384454187,0.014837587384454187,1.220733892334947e-05,14844.840079474288,0.7663630529627401,solve,downward,20,0.09947135793285178,0.01
1,2.978576434942552e-07,2.978576434942552e-07,7.518796306244275e-11,14844.88933972677,0.7663640123579001,solve,downward,20,0.09947135793285178,0.01
2,5.5449900684694475e-08,5.5449900684694475e-08,0.0,14844.889353834611,0.7663640123509013,not_needed,downward,20,0.09947135793285178,0.01
0,0.42648339202307783,0.42648339202307783,0.0006488418746690789,1899.1911157917605,0.9598108870090752,solve,upward,1,0.6191084547904981,0.2
1,9.526907722125563e-05,9.526907722125563e-05,1.3984050143869846e-07,1899.923363607958,0.9598146224348387,solve,upward,1,0.6191084547904981,0.2
2,2.6535473266664432e-08,2.6535473266664432e-08,0.0,1899.92247322345,0.9598146118789405,not_needed,upward,1,0.6191084547904981,0.2
0,0.6223257015951578,0.6223257015951578,0.0009508193961351785,1824.595995684292,0.9615813023977204,solve,upward,2,0.643043392613486,0.25
1,0.00020378548080557705,0.00020378548080557705,3.0006337854006956e-07,1825.6242140125469,0.9615864529158484,solve,upward,2,0.643043392613486,0.25
2,1.311566857933452e-07,1.311566857933452e-07,1.7369674253460414e-10,1825.6238969580136,0.9615864516122552,solve,upward,2,0.643043392613486,0.25
3,2.572243535764235e-08,2.572243535764235e-08,0.0,1825.6246121882398,0.9615864620676059,not_needed,upward,2,0.643043392613486,0.25
0,0.8952856311286308,0.8952856311286308,0.0013746669874796103,1738.9992507427335,0.9635729092774481,solve,upward,3,0.6730316281352967,0.3125
1,0.00042453848806589496,0.00042453848806589496,6.274423663173289e-07,1740.410763519266,0.9635798337506857,solve,upward,3,0.6730316281352967,0.3125
2,1.2186424720967457e-07,1.2186424720967457e-07,1.693138357972671e-10,1740.4094599346524,0.9635798202960686,solve,upward,3,0.6730316281352967,0.3125
3,1.6924895284726767e-08,1.6924895284726767e-08,0.0,1740.4101431232687,0.9635798313755644,not_needed,upward,3,0.6730316281352967,0.3125
0,1.0218077598199813,1.0218077598199813,0.001576421132141215,1652.2650755641218,0.9655576193073042,solve,upward,4,0.7066997061751452,0.35
1,0.0005581187053691376,0.0005581187053691376,8.280158197012371e-07,1653.7952813382883,0.9655649687665316,solve,upward,4,0.7066997061751452,0.35
2,1.4582319679814633e-07,1.4582319679814633e-07,2.133302855678887e-10,1653.7951580364534,0.9655649778372684,solve,upward,4,0.7066997061751452,0.35
3,9.23532074850156e-08,9.23532074850156e-08,0.0,1653.7945141132152,0.9655649660613312,not_needed,upward,4,0.7066997061751452,0.35
0,0.9280646009919388,0.9280646009919388,0.0014374034815584436,1573.9447921869687,0.9673179722845263,solve,upward,5,0.7404430748879217,0.35
1,0.0004642371316822563,0.0004642371316822563,6.922596280571213e-07,1575.2648248738112,0.967324163291794,solve,upward,5,0.7404430748879217,0.35
2,4.9848898093502385e-08,4.9848898093502385e-08,0.0,1575.2648416452248,0.9673241741794754,not_needed,upward,5,0.7404430748879217,0.35
0,0.8470656099753222,0.8470656099753222,0.0013169867842723463,1502.615728627215,0.968875231299898,solve,upward,6,0.7742524881811055,0.35
1,0.00039077639419839096,0.00039077639419839096,5.866259056250366e-07,1503.7610136214441,0.9688804583185969,solve,upward,6,0.7742524881811055,0.35
2,4.328553168616621e-08,4.328553168616621e-08,0.0,1503.7605400409152,0.9688804570219749,not_needed,upward,6,0.7742524881811055,0.35
0,0.7767904092926027,0.7767904092926027,0.001212652428634935,1437.3918735327888,0.970255961958574,solve,upward,7,0.8081200306630509,0.35
1,0.0003322654137027867,0.0003322654137027867,5.036063674172774e-07,1438.390538972663,0.9702603670917167,solve,upward,7,0.8081200306630509,0.35
2,1.6121509342671734e-08,1.6121509342671738e-08,0.0,1438.3907357570633,0.9702603814861251,not_needed,upward,7,0.8081200306630509,0.35
0,0.7158192271268602,0.7158192271268602,0.001122568903705727,1377.5285894583885,0.9714822123399866,solve,upward,8,0.8420388732986834,0.35
1,0.00028537114599913723,0.00028537114599913723,4.382828076438995e-07,1378.4041178163754,0.9714859183398616,solve,upward,8,0.8420388732986834,0.35
2,2.6971763849274364e-08,2.6971763849274364e-08,0.0,1378.4038176637036,0.9714859179199802,not_needed,upward,8,0.8420388732986834,0.35
0,0.6627961366349748,0.6627961366349748,0.001045099392910622,1322.3962783569825,0.9725722937904259,solve,upward,9,0.8760030775571892,0.35
1,0.0002483394800992829,0.0002483394800992829,3.88182271723958e-07,1323.1669026435986,0.9725753686048926,solve,upward,9,0.8760030775571892,0.35
2,5.441186270672732e-08,5.441186270672732e-08,0.0,1323.1666560108804,0.9725753683356455,not_needed,upward,9,0.8760030775571892,0.35
0,0.6166615264335202,0.6166615264335202,0.0009789813312766045,1271.4612225687022,0.9735414944523978,solve,upward,10,0.9100074371593408,0.35
1,0.00021783142045509038,0.00021783142045509038,3.4822112006910896e-07,1272.1419569763536,0.9735439820653562,solve,upward,10,0.9100074371593408,0.35
2,2.7939664934616597e-08,2.7939664934616597e-08,0.0,1272.142772807273,0.9735440213340377,not_needed,upward,10,0.9100074371593408,0.35
0,0.5766365760161426,0.5766365760161426,0.0009233674734230152,1224.266086851253,0.9744025017267252,solve,upward,11,0.9440473489405866,0.35
1,0.0001924600086861368,0.0001924600086861368,3.1605339513557054e-07,1224.87033228152,0.9744044645200104,solve,upward,11,0.9440473489405866,0.35
2,6.783586105661033e-08,6.783586105661033e-08,0.0,1224.8701728976341,0.9744044649180036,not_needed,upward,11,0.9440473489405866,0.35
0,0.541852914079354,0.541852914079354,0.0008772849570891604,1180.4167768118612,0.9751657722573588,solve,upward,12,0.9781187061911625,0.35
1,0.00017273193849201042,0.00017273193849201042,2.9311265500711556e-07,1180.955763705404,0.9751672690373684,solve,upward,12,0.9781187061911625,0.35
2,4.507274832707097e-08,4.507274832707097e-08,0.0,1180.9556263520853,0.9751672692846844,not_needed,upward,12,0.9781187061911625,0.35
0,0.5118353087932456,0.5118353087932456,0.0008403553510879958,1139.5746402156778,0.9758400007743799,solve,upward,13,1.0122178098451955,0.35
