stage_index,smooth_width_m,run,step_index,z_W0_m,eigenvalue_index,real_s_inv,imag_s_inv
1,300.0,downward,0,9000.0,0,-16.165562534317356,0.0
1,300.0,downward,0,9000.0,1,-18.37513791846285,0.0
1,300.0,downward,0,9000.0,2,6.18855144668863e-05,0.0001517343967783387
1,300.0,downward,0,9000.0,3,6.18855144668863e-05,-0.0001517343967783387
1,300.0,downward,1,8790.465815159925,0,-16.996989411556974,0.0
1,300.0,downward,1,8790.465815159925,1,-19.346026440228023,0.0
1,300.0,downward,1,8790.465815159925,2,3.029780367374465e-05,0.000169416390628851
1,300.0,downward,1,8790.465815159925,3,3.029780367374465e-05,-0.000169416390628851
1,300.0,downward,2,8593.171177604812,0,-16.6813456609038,0.0
1,300.0,downward,2,8593.171177604812,1,-19.043409706264583,0.0
1,300.0,downward,2,8593.171177604812,2,1.3056788176788245e-05,0.00017125204150740374
1,300.0,downward,2,8593.171177604812,3,1.3056788176788245e-05,-0.00017125204150740374
1,300.0,downward,3,8373.922315433294,0,-16.50543821605568,0.0
1,300.0,downward,3,8373.922315433294,1,-18.87483792352882,0.0
1,300.0,downward,3,8373.922315433294,2,2.8407281258367394e-06,0.00017152419178043874
1,300.0,downward,3,8373.922315433294,3,2.8407281258367394e-06,-0.00017152419178043874
1,300.0,downward,4,8154.098975589798,0,-16.420593212711253,0.0
1,300.0,downward,4,8154.098975589798,1,-18.793550442410833,0.0
1,300.0,downward,4,8154.098975589798,2,-2.2510302597704386e-06,0.00017143494808170026
1,300.0,downward,4,8154.098975589798,3,-2.2510302597704386e-06,-0.00017143494808170026
1,300.0,downward,5,7934.140069033754,0,-16.37980229618113,0.0
1,300.0,downward,5,7934.140069033754,1,-18.754474344778437,0.0
1,300.0,downward,5,7934.140069033754,2,-4.7381701437806675e-06,0.00017133691415410594
1,300.0,downward,5,7934.140069033754,3,-4.7381701437806675e-06,-0.00017133691415410594
1,300.0,downward,6,7714.149584755576,0,-16.360206003971225,0.0
1,300.0,downward,6,7714.149584755576,1,-18.735702896403808,0.0
1,300.0,downward,6,7714.149584755576,2,-5.942187287011473e-06,0.00017127659592401065
1,300.0,downward,6,7714.149584755576,3,-5.942187287011473e-06,-0.00017127659592401065
1,300.0,downward,7,7494.151783831698,0,-16.350793382130465,0.0
1,300.0,downward,7,7494.151783831698,1,-18.726686706964855,0.0
1,300.0,downward,7,7494.151783831698,2,-6.5226402450445686e-06,0.0001712445153567722
1,300.0,downward,7,7494.151783831698,3,-6.5226402450445686e-06,-0.0001712445153567722
1,300.0,downward,8,7274.15229156671,0,-16.346272414642662,0.0
1,300.0,downward,8,7274.15229156671,1,-18.72235620425428,0.0
1,300.0,downward,8,7274.15229156671,2,-6.801930389526889e-06,0.00017122838332944031
1,300.0,downward,8,7274.15229156671,3,-6.801930389526889e-06,-0.00017122838332944031
1,300.0,downward,9,7054.152408744285,0,-16.34410096865494,0.0
1,300.0,downward,9,7054.152408744285,1,-18.72027625247004,0.0
1,300.0,downward,9,7054.152408744285,2,-6.936188997595536e-06,0.0001712204674969553
1,300.0,downward,9,7054.152408744285,3,-6.936188997595536e-06,-0.0001712204674969553
1,300.0,downward,10,7001.0830455672185,0,-16.343775586386034,0.0
1,300.0,downward,10,7001.0830455672185,1,-18.719964580789767,0.0
1,300.0,downward,10,7001.0830455672185,2,-6.956313478683479e-06,0.00017121927186449168
1,300.0,downward,10,7001.0830455672185,3,-6.956313478683479e-06,-0.00017121927186449168
1,300.0,downward,11,6998.583046079695,0,-16.343761632224247,0.0
1,300.0,downward,11,6998.583046079695,1,-18.719951214376508,0.0
1,300.0,downward,11,6998.583046079695,2,-6.95717656070783e-06,0.0001712192206434446
1,300.0,downward,11,6998.583046079695,3,-6.95717656070783e-06,-0.0001712192206434446
1,300.0,upward,0,9000.0,0,-16.165562534317356,0.0
1,300.0,upward,0,9000.0,1,-18.37513791846285,0.0
1,300.0,upward,0,9000.0,2,6.18855144668863e-05,0.0001517343967783387
1,300.0,upward,0,9000.0,3,6.18855144668863e-05,-0.0001517343967783387
1,300.0,upward,1,9088.877814863878,0,-18.113256718995878,0.0
1,300.0,upward,1,9088.877814863878,1,-20.417624129009603,0.0
1,300.0,upward,1,9088.877814863878,2,8.157576970700277e-05,0.00015289656967759985
1,300.0,upward,1,9088.877814863878,3,8.157576970700277e-05,-0.00015289656967759985
1,300.0,upward,2,9249.54557187316,0,-19.368312175494843,0.0
1,300.0,upward,2,9249.54557187316,1,-21.625024970822754,0.0
1,300.0,upward,2,9249.54557187316,2,0.00012498959757705345,0.00012180558002773707
1,300.0,upward,2,9249.54557187316,3,0.00012498959757705345,-0.00012180558002773707
1,300.0,upward,3,9395.60671751308,0,-21.266640050496623,0.0
1,300.0,upward,3,9395.60671751308,1,-23.456197033909085,0.0
1,300.0,upward,3,9395.60671751308,2,0.0001706384014060509,4.381161986026485e-05
1,300.0,upward,3,9395.60671751308,3,0.0001706384014060509,-4.381161986026485e-05
1,300.0,upward,4,9514.59452464735,0,-23.663619106749266,0.0
1,300.0,upward,4,9514.59452464735,1,-25.7761275564589,0.0
1,300.0,upward,4,9514.59452464735,2,0.00030948183449327164,0.0
1,300.0,upward,4,9514.59452464735,3,0.00010231444542521133,0.0
1,300.0,upward,5,9614.44112137766,0,-26.55402784017162,0.0
1,300.0,upward,5,9614.44112137766,1,-28.583671429376064,0.0
1,300.0,upward,5,9614.44112137766,2,0.000369999352356737,0.0
1,300.0,upward,5,9614.44112137766,3,8.728925664582748e-05,0.0
1,300.0,upward,6,9701.050750130982,0,-29.97079808521906,0.0
1,300.0,upward,6,9701.050750130982,1,-31.914383103660928,0.0
1,300.0,upward,6,9701.050750130982,2,0.00039704273060546665,0.0
1,300.0,upward,6,9701.050750130982,3,8.288314481040497e-05,0.0
1,300.0,upward,7,9778.293968269,0,-33.97248439063004,0.0
1,300.0,upward,7,9778.293968269,1,-35.82861116749092,0.0
1,300.0,upward,7,9778.293968269,2,0.000400323011647498,0.0
1,300.0,upward,7,9778.293968269,3,8.363920860872122e-05,0.0
1,300.0,upward,8,9848.699414345245,0,-38.63682432393024,0.0
1,300.0,upward,8,9848.699414345245,1,-40.4054043937056,0.0
1,300.0,upward,8,9848.699414345245,2,0.00038571387440702046,0.0
1,300.0,upward,8,9848.699414345245,3,8.817888793716907e-05,0.0
1,300.0,upward,9,9913.965484432814,0,-44.058715197943116,0.0
1,300.0,upward,9,9913.965484432814,1,-45.74065187585516,0.0
1,300.0,upward,9,9913.965484432814,2,0.00035720729175756777,0.0
1,300.0,upward,9,9913.965484432814,3,9.655674160098643e-05,0.0
1,300.0,upward,10,9975.2718455043,0,-50.35045849947366,0.0
1,300.0,upward,10,9975.2718455043,1,-51.947410302364524,0.0
1,300.0,upward,10,9975.2718455043,2,0.0003167044356798597,0.0
1,300.0,upward,10,9975.2718455043,3,0.00011025242696013649,0.0
1,300.0,upward,11,9999.257776823508,0,-53.18542174151768,0.0
1,300.0,upward,11,9999.257776823508,1,-54.7484449975161,0.0
1,300.0,upward,11,9999.257776823508,2,0.0002964903209775328,0.0
1,300.0,upward,11,9999.257776823508,3,0.00011830317697780049,0.0
1,300.0,upward,12,9999.984937160441,0,-53.2749718192631,0.0
1,300.0,upward,12,9999.984937160441,1,-54.83696193710626,0.0
1,300.0,upward,12,9999.984937160441,2,0.00029582851374354764,0.0
1,300.0,upward,12,9999.984937160441,3,0.00011858376535850459,0.0
1,300.0,upward,13,10000.64829212132,0,-53.356854576124235,0.0
1,300.0,upward,13,10000.64829212132,1,-54.917901996682474,0.0
1,300.0,upward,13,10000.64829212132,2,0.0002952219540722292,0.0
1,300.0,upward,13,10000.64829212132,3,0.0001188419512444211,0.0
1,300.0,anchor,7000,7000.0,0,-16.343769526888078,0.0
1,300.0,anchor,7000,7000.0,1,-18.719958776771232,0.0
1,300.0,anchor,7000,7000.0,2,-6.956688263928585e-06,0.00017121924990172246
1,300.0,anchor,7000,7000.0,3,-6.956688263928585e-06,-0.00017121924990172246
1,300.0,anchor,7500,7500.0,0,-16.35096463055679,0.0
1,300.0,anchor,7500,7500.0,1,-18.72685074153539,0.0
1,300.0,anchor,7500,7500.0,2,-6.512067393442602e-06,0.00017124511717621734
1,300.0,anchor,7500,7500.0,3,-6.512067393442602e-06,-0.00017124511717621734
1,300.0,anchor,8000,8000.0,0,-16.38905961707733,0.0
1,300.0,anchor,8000,8000.0,1,-18.763342240340357,0.0
1,300.0,anchor,8000,8000.0,2,-4.171467702397526e-06,0.00017136239930201565
1,300.0,anchor,8000,8000.0,3,-4.171467702397526e-06,-0.00017136239930201565
1,300.0,anchor,8500,8500.0,0,-16.590768512739928,0.0
1,300.0,anchor,8500,8500.0,1,-18.956603031113954,0.0
1,300.0,anchor,8500,8500.0,2,7.852849567096643e-06,0.00017146596172003018
1,300.0,anchor,8500,8500.0,3,7.852849567096643e-06,-0.00017146596172003018
1,300.0,anchor,9000,9000.0,0,-17.659028161494668,0.0
1,300.0,anchor,9000,9000.0,1,-19.98130965752926,0.0
1,300.0,anchor,9000,9000.0,2,6.237411003617269e-05,0.0001611752926543066
1,300.0,anchor,9000,9000.0,3,6.237411003617269e-05,-0.0001611752926543066
1,300.0,anchor,9500,9500.0,0,-23.31602589517625,0.0
1,300.0,anchor,9500,9500.0,1,-25.43920906381081,0.0
1,300.0,anchor,9500,9500.0,2,0.0002977993792763904,0.0
1,300.0,anchor,9500,9500.0,3,0.00010604386153005838,0.0
1,300.0,anchor,9600,9600.0,0,-26.074232568250796,0.0
1,300.0,anchor,9600,9600.0,1,-28.11694183516981,0.0
1,300.0,anchor,9600,9600.0,2,0.0003631848035887987,0.0
1,300.0,anchor,9600,9600.0,3,8.866045790922868e-05,0.0
1,300.0,anchor,9700,9700.0,0,-29.92315761849319,0.0
1,300.0,anchor,9700,9700.0,1,-31.867864665105902,0.0
1,300.0,anchor,9700,9700.0,2,0.00039686026536482687,0.0
1,300.0,anchor,9700,9700.0,3,8.29019158837608e-05,0.0
1,300.0,anchor,9800,9800.0,0,-35.29545865015954,0.0
1,300.0,anchor,9800,9800.0,1,-37.12533383322044,0.0
1,300.0,anchor,9800,9800.0,2,0.0003976104429328072,0.0
1,300.0,anchor,9800,9800.0,3,8.462090613084207e-05,0.0
1,300.0,anchor,9900,9900.0,0,-42.797080113182766,0.0
1,300.0,anchor,9900,9900.0,1,-44.49793452308118,0.0
1,300.0,anchor,9900,9900.0,2,0.00036452382194392797,0.0
1,300.0,anchor,9900,9900.0,3,9.434220116542855e-05,0.0
1,300.0,anchor,10000,10000.0,0,-53.27682911865088,0.0
1,300.0,anchor,10000,10000.0,1,-54.83879783282657,0.0
1,300.0,anchor,10000,10000.0,2,0.0002958147709881135,0.0
1,300.0,anchor,10000,10000.0,3,0.00011858960396976995,0.0
2,150.0,downward,0,9000.0,0,-16.325557529605593,0.0
2,150.0,downward,0,9000.0,1,-18.686218023612106,0.0
2,150.0,downward,0,9000.0,2,6.79458509543209e-06,0.00017047469586318247
2,150.0,downward,0,9000.0,3,6.79458509543209e-06,-0.00017047469586318247
2,150.0,downward,1,8839.00868774814,0,-16.381312575704204,0.0
2,150.0,downward,1,8839.00868774814,1,-18.75592585196598,0.0
2,150.0,downward,1,8839.00868774814,2,-2.2603258198179077e-06,0.0001713713512289876
2,150.0,downward,1,8839.00868774814,3,-2.2603258198179077e-06,-0.0001713713512289876
2,150.0,downward,2,8639.018190048086,0,-16.35243515195609,0.0
2,150.0,downward,2,8639.018190048086,1,-18.72826058260949,0.0
2,150.0,downward,2,8639.018190048086,2,-5.78951814930238e-06,0.00017126803189236576
2,150.0,downward,2,8639.018190048086,3,-5.78951814930238e-06,-0.00017126803189236576
2,150.0,downward,3,8419.018529863803,0,-16.344479879647857,0.0
2,150.0,downward,3,8419.018529863803,1,-18.72063948918921,0.0
2,150.0,downward,3,8419.018529863803,2,-6.766818309813745e-06,0.00017122658935894502
2,150.0,downward,3,8419.018529863803,3,-6.766818309813745e-06,-0.00017122658935894502
2,150.0,downward,4,8199.01854785853,0,-16.34264449566527,0.0
2,150.0,downward,4,8199.01854785853,1,-18.718881219725244,0.0
2,150.0,downward,4,8199.01854785853,2,-6.992605968247512e-06,0.0001712162225561151
2,150.0,downward,4,8199.01854785853,3,-6.992605968247512e-06,-0.0001712162225561151
2,150.0,downward,5,7979.018548815137,0,-16.342221076958307,0.0
2,150.0,downward,5,7979.018548815137,1,-18.71847559198935,0.0
2,150.0,downward,5,7979.018548815137,2,-7.0447112630145965e-06,0.00017121378752002099
2,150.0,downward,5,7979.018548815137,3,-7.0447112630145965e-06,-0.00017121378752002099
2,150.0,downward,6,7759.018548866032,0,-16.34212339704429,0.0
2,150.0,downward,6,7759.018548866032,1,-18.718382016469278,0.0
2,150.0,downward,6,7759.018548866032,2,-7.056732536762025e-06,0.0001712132241877122
2,150.0,downward,6,7759.018548866032,3,-7.056732536762025e-06,-0.0001712132241877122
2,150.0,downward,7,7539.01854886874,0,-16.34210086254826,0.0
2,150.0,downward,7,7539.01854886874,1,-18.71836042898652,0.0
2,150.0,downward,7,7539.01854886874,2,-7.059505812846196e-06,0.0001712130932910719
2,150.0,downward,7,7539.01854886874,3,-7.059505812846196e-06,-0.0001712130932910719
2,150.0,downward,8,7319.018548868885,0,-16.3420956640471,0.0
2,150.0,downward,8,7319.018548868885,1,-18.71835544875637,0.0
2,150.0,downward,8,7319.018548868885,2,-7.060145590810939e-06,0.0001712130631022458
2,150.0,downward,8,7319.018548868885,3,-7.060145590810939e-06,-0.0001712130631022458
2,150.0,downward,9,7099.018548868892,0,-16.34209446479118,0.0
2,150.0,downward,9,7099.018548868892,1,-18.718354299868864,0.0
2,150.0,downward,9,7099.018548868892,2,-7.06029318355049e-06,0.00017121305661212235
2,150.0,downward,9,7099.018548868892,3,-7.06029318355049e-06,-0.00017121305661212235
2,150.0,downward,10,7001.980370977376,0,-16.342094293486937,0.0
2,150.0,downward,10,7001.980370977376,1,-18.71835413560252,0.0
2,150.0,downward,10,7001.980370977376,2,-7.060314266540249e-06,0.00017121305560520542
2,150.0,downward,10,7001.980370977376,3,-7.060314266540249e-06,-0.00017121305560520542
2,150.0,downward,11,6999.480370977376,0,-16.342094290344797,0.0
2,150.0,downward,11,6999.480370977376,1,-18.718354132848383,0.0
2,150.0,downward,11,6999.480370977376,2,-7.060314649052195e-06,0.00017121305559165923
2,150.0,downward,11,6999.480370977376,3,-7.060314649052195e-06,-0.00017121305559165923
2,150.0,upward,0,9000.0,0,-16.325557529605593,0.0
2,150.0,upward,0,9000.0,1,-18.686218023612106,0.0
2,150.0,upward,0,9000.0,2,6.79458509543209e-06,0.00017047469586318247
2,150.0,upward,0,9000.0,3,6.79458509543209e-06,-0.00017047469586318247
2,150.0,upward,1,9157.388939364226,0,-16.66887436784616,0.0
2,150.0,upward,1,9157.388939364226,1,-19.031494744686825,0.0
2,150.0,upward,1,9157.388939364226,2,3.136688044780322e-05,0.00016870101569375312
2,150.0,upward,1,9157.388939364226,3,3.136688044780322e-05,-0.00016870101569375312
2,150.0,upward,2,9342.415047933646,0,-17.456959704078102,0.0
2,150.0,upward,2,9342.415047933646,1,-19.787441842580105,0.0
2,150.0,upward,2,9342.415047933646,2,0.00011098569252873158,0.00013163076313096167
2,150.0,upward,2,9342.415047933646,3,0.00011098569252873158,-0.00013163076313096167
2,150.0,upward,3,9485.954483614663,0,-19.2082348963096,0.0
2,150.0,upward,3,9485.954483614663,1,-21.471114302114024,0.0
2,150.0,upward,3,9485.954483614663,2,0.0004020920561735296,0.0
2,150.0,upward,3,9485.954483614663,3,7.48604518446181e-05,0.0
2,150.0,upward,4,9576.760739893873,0,-21.51852597846827,0.0
2,150.0,upward,4,9576.760739893873,1,-23.69992523664444,0.0
2,150.0,upward,4,9576.760739893873,2,0.0006321134136065192,0.0
2,150.0,upward,4,9576.760739893873,3,4.85312708435969e-05,0.0
2,150.0,upward,5,9643.215184671526,0,-24.29238506298763,0.0
2,150.0,upward,5,9643.215184671526,1,-26.386377777461362,0.0
2,150.0,upward,5,9643.215184671526,2,0.000773360667476796,0.0
2,150.0,upward,5,9643.215184671526,3,4.0468052341309604e-05,0.0
2,150.0,upward,6,9696.73661453925,0,-27.55441266853422,0.0
2,150.0,upward,6,9696.73661453925,1,-29.558050548268938,0.0
2,150.0,upward,6,9696.73661453925,2,0.0008504758600433332,0.0
2,150.0,upward,6,9696.73661453925,3,3.752981123294198e-05,0.0
2,150.0,upward,7,9742.386036290649,0,-31.364625354902305,0.0
2,150.0,upward,7,9742.386036290649,1,-33.276701410305215,0.0
2,150.0,upward,7,9742.386036290649,2,0.0008800893532545056,0.0
2,150.0,upward,7,9742.386036290649,3,3.694983899210375e-05,0.0
2,150.0,upward,8,9782.778264714749,0,-35.8021762417959,0.0
2,150.0,upward,8,9782.778264714749,1,-37.62274154742021,0.0
2,150.0,upward,8,9782.778264714749,2,0.0008750412572094291,0.0
2,150.0,upward,8,9782.778264714749,3,3.780975470850936e-05,0.0
2,150.0,upward,9,9819.428200410368,0,-40.96223937809998,0.0
2,150.0,upward,9,9819.428200410368,1,-42.69231941377875,0.0
2,150.0,upward,9,9819.428200410368,2,0.0008452764663708325,0.0
2,150.0,upward,9,9819.428200410368,3,3.975933366047929e-05,0.0
2,150.0,upward,10,9853.291274234516,0,-46.956421932792736,0.0
2,150.0,upward,10,9853.291274234516,1,-48.59780316625194,0.0
2,150.0,upward,10,9853.291274234516,2,0.0007984642190971776,0.0
2,150.0,upward,10,9853.291274234516,3,4.268462249075784e-05,0.0
2,150.0,upward,11,9885.010165089327,0,-53.914511238303,0.0
2,150.0,upward,11,9885.010165089327,1,-55.46956374509979,0.0
2,150.0,upward,11,9885.010165089327,2,0.0007404571492051514,0.0
2,150.0,upward,11,9885.010165089327,3,4.6601577696167274e-05,0.0
2,150.0,upward,12,9915.039259302326,0,-61.98696938869079,0.0
2,150.0,upward,12,9915.039259302326,1,-63.458495944093045,0.0
2,150.0,upward,12,9915.039259302326,2,0.0006756299250095827,0.0
2,150.0,upward,12,9915.039259302326,3,5.162593250898298e-05,0.0
2,150.0,upward,13,9943.712591417996,0,-71.34801858890815,0.0
2,150.0,upward,13,9943.712591417996,1,-72.73912713545015,0.0
2,150.0,upward,13,9943.712591417996,2,0.0006071260865213453,0.0
2,150.0,upward,13,9943.712591417996,3,5.798336690190751e-05,0.0
2,150.0,upward,14,9971.283395697355,0,-82.19930193694853,0.0
2,150.0,upward,14,9971.283395697355,1,-83.51329963530222,0.0
2,150.0,upward,14,9971.283395697355,2,0.0005370198381768045,0.0
2,150.0,upward,14,9971.283395697355,3,6.606283836775856e-05,0.0
2,150.0,upward,15,9997.948408891772,0,-94.77416271996053,0.0
2,150.0,upward,15,9997.948408891772,1,-96.01446970410241,0.0
2,150.0,upward,15,9997.948408891772,2,0.0004663575784656025,0.0
2,150.0,upward,15,9997.948408891772,3,7.655692795054101e-05,0.0
2,150.0,upward,16,9999.956789035508,0,-95.81513646334517,0.0
2,150.0,upward,16,9999.956789035508,1,-97.04994546792808,0.0
2,150.0,upward,16,9999.956789035508,2,0.0004609305057530163,0.0
2,150.0,upward,16,9999.956789035508,3,7.749163054979874e-05,0.0
2,150.0,upward,17,10000.254582116631,0,-95.97068060010177,0.0
2,150.0,upward,17,10000.254582116631,1,-97.20467511147324,0.0
2,150.0,upward,17,10000.254582116631,2,0.0004601244763153693,0.0
2,150.0,upward,17,10000.254582116631,3,7.763228120286083e-05,0.0
2,150.0,anchor,7000,7000.0,0,-16.34209429099852,0.0
2,150.0,anchor,7000,7000.0,1,-18.718354133381457,0.0
2,150.0,anchor,7000,7000.0,2,-7.060314570469596e-06,0.00017121305559988107
2,150.0,anchor,7000,7000.0,3,-7.060314570469596e-06,-0.00017121305559988107
2,150.0,anchor,7500,7500.0,0,-16.342099314799402,0.0
2,150.0,anchor,7500,7500.0,1,-18.718358946146967,0.0
2,150.0,anchor,7500,7500.0,2,-7.059696292156684e-06,0.00017121308428788248
2,150.0,anchor,7500,7500.0,3,-7.059696292156684e-06,-0.00017121308428788248
2,150.0,anchor,8000,8000.0,0,-16.3422401394085,0.0
2,150.0,anchor,8000,8000.0,1,-18.71849385372153,0.0
2,150.0,anchor,8000,8000.0,2,-7.042365331717232e-06,0.00017121389799677877
2,150.0,anchor,8000,8000.0,3,-7.042365331717232e-06,-0.00017121389799677877
2,150.0,anchor,8500,8500.0,0,-16.34618754585893,0.0
2,150.0,anchor,8500,8500.0,1,-18.722275412061542,0.0
2,150.0,anchor,8500,8500.0,2,-6.5568474923740645e-06,0.00017123596279741433
2,150.0,anchor,8500,8500.0,3,-6.5568474923740645e-06,-0.00017123596279741433
2,150.0,anchor,9000,9000.0,0,-16.45673335910199,0.0
2,150.0,anchor,9000,9000.0,1,-18.828187492159014,0.0
2,150.0,anchor,9000,9000.0,2,6.822836321279516e-06,0.0001713039843842385
2,150.0,anchor,9000,9000.0,3,6.822836321279516e-06,-0.0001713039843842385
2,150.0,anchor,9500,9500.0,0,-19.483791081060453,0.0
2,150.0,anchor,9500,9500.0,1,-21.736503475625234,0.0
2,150.0,anchor,9500,9500.0,2,0.00043898704039392237,0.0
2,150.0,anchor,9500,9500.0,3,6.873058637904337e-05,0.0
2,150.0,anchor,9600,9600.0,0,-22.35853583241208,0.0
2,150.0,anchor,9600,9600.0,1,-24.512332080508102,0.0
2,150.0,anchor,9600,9600.0,2,0.000685671164378626,0.0
2,150.0,anchor,9600,9600.0,3,4.5027100822810476e-05,0.0
2,150.0,anchor,9700,9700.0,0,-27.791523873734615,0.0
2,150.0,anchor,9700,9700.0,1,-29.789055329026993,0.0
2,150.0,anchor,9700,9700.0,2,0.0008537806705783482,0.0
2,150.0,anchor,9700,9700.0,3,3.743264538519783e-05,0.0
2,150.0,anchor,9800,9800.0,0,-38.074850624392816,0.0
2,150.0,anchor,9800,9800.0,1,-39.85370096106391,0.0
2,150.0,anchor,9800,9800.0,2,0.000863936483180055,0.0
2,150.0,anchor,9800,9800.0,3,3.8580037074436376e-05,0.0
2,150.0,anchor,9900,9900.0,0,-57.74401263436008,0.0
2,150.0,anchor,9900,9900.0,1,-59.25752224915039,0.0
2,150.0,anchor,9900,9900.0,2,0.0007091333844722741,0.0
2,150.0,anchor,9900,9900.0,3,4.892864853584995e-05,0.0
2,150.0,anchor,10000,10000.0,0,-95.83768733068779,0.0
2,150.0,anchor,10000,10000.0,1,-97.0723781373891,0.0
2,150.0,anchor,10000,10000.0,2,0.0004608135692763842,0.0
2,150.0,anchor,10000,10000.0,3,7.751200597141616e-05,0.0
3,100.0,downward,0,9000.0,0,-16.340537878454498,0.0
3,100.0,downward,0,9000.0,1,-18.71533103194511,0.0
3,100.0,downward,0,9000.0,2,-5.091531407373549e-06,0.0001712075226779097
3,100.0,downward,0,9000.0,3,-5.091531407373549e-06,-0.0001712075226779097
3,100.0,downward,1,8839.984902708466,0,-16.344256763028373,0.0
3,100.0,downward,1,8839.984902708466,1,-18.72042601122759,0.0
3,100.0,downward,1,8839.984902708466,2,-6.661976600473511e-06,0.00017122954815314772
3,100.0,downward,1,8839.984902708466,3,-6.661976600473511e-06,-0.00017122954815314772
3,100.0,downward,2,8639.984819491663,0,-16.342386802049266,0.0
3,100.0,downward,2,8639.984819491663,1,-18.718634389546352,0.0
3,100.0,downward,2,8639.984819491663,2,-7.006406409475349e-06,0.00017121534188871507
3,100.0,downward,2,8639.984819491663,3,-7.006406409475349e-06,-0.00017121534188871507
3,100.0,downward,3,8419.984817114768,0,-16.34212653711051,0.0
3,100.0,downward,3,8419.984817114768,1,-18.718385028494797,0.0
3,100.0,downward,3,8419.984817114768,2,-7.0543614240446145e-06,0.0001712133087552993
3,100.0,downward,3,8419.984817114768,3,-7.0543614240446145e-06,-0.0001712133087552993
3,100.0,downward,4,8199.984817085582,0,-16.342097698807756,0.0
3,100.0,downward,4,8199.984817085582,1,-18.718357398626917,0.0
3,100.0,downward,4,8199.984817085582,2,-7.059675276936642e-06,0.00017121308232887782
3,100.0,downward,4,8199.984817085582,3,-7.059675276936642e-06,-0.00017121308232887782
3,100.0,downward,5,7979.984817085224,0,-16.34209450334788,0.0
3,100.0,downward,5,7979.984817085224,1,-18.718354336875297,0.0
3,100.0,downward,5,7979.984817085224,2,-7.060264072311325e-06,0.0001712130576650186
3,100.0,downward,5,7979.984817085224,3,-7.060264072311325e-06,-0.0001712130576650186
3,100.0,downward,6,7759.98481708522,0,-16.342094149288105,0.0
3,100.0,downward,6,7759.98481708522,1,-18.718353997638292,0.0
3,100.0,downward,6,7759.98481708522,2,-7.060329312835292e-06,0.00017121305488854768
3,100.0,downward,6,7759.98481708522,3,-7.060329312835292e-06,-0.00017121305488854768
3,100.0,downward,7,7539.984817085219,0,-16.342094110057253,0.0
3,100.0,downward,7,7539.984817085219,1,-18.718353960053893,0.0
3,100.0,downward,7,7539.984817085219,2,-7.06033654145292e-06,0.0001712130550714282
3,100.0,downward,7,7539.984817085219,3,-7.06033654145292e-06,-0.0001712130550714282
3,100.0,downward,8,7319.984817085219,0,-16.34209410571037,0.0
3,100.0,downward,8,7319.984817085219,1,-18.718353955789055,0.0
3,100.0,downward,8,7319.984817085219,2,-7.060337342873742e-06,0.00017121305455477105
3,100.0,downward,8,7319.984817085219,3,-7.060337342873742e-06,-0.00017121305455477105
3,100.0,downward,9,7099.984817085219,0,-16.342094104462266,0.0
3,100.0,downward,9,7099.984817085219,1,-18.718353954634235,0.0
3,100.0,downward,9,7099.984817085219,2,-7.060337431591322e-06,0.00017121305501488355
3,100.0,downward,9,7099.984817085219,3,-7.060337431591322e-06,-0.00017121305501488355
