experiment,accepted,reason,z_W0_m,z_W0_km,smooth_width_m,mu_log_width_over_50m,width_inverse_mapping,q_z_W0_scaled,z_m,u_m_s,w_m_s,m_kg,scaled_x0_z,scaled_x1_u,scaled_x2_w,scaled_x3_log_m,physical_residual_norm,transformed_residual_norm,scaled_residual_norm,max_abs_scaled_residual,newton_iterations,state_jacobian_condition,state_jacobian_min_singular_value,state_jacobian_max_singular_value,width_branch_condition,width_branch_min_singular_value,width_branch_max_singular_value,width_tangent_mu,width_tangent_state_norm,z_branch_condition,z_branch_min_singular_value,z_branch_max_singular_value,z_tangent_lambda,critical_real_s_inv,critical_imag_s_inv,stable_eigenvalue_count,smoothed_W_a_m_s,piecewise_W_a_m_s,updraft_difference_m_s,distance_to_z_W0_m,distance_to_ramp_base_m,in_transition_region
fixed_z_width_path,True,converged,9600.0,9.6,300.0,1.791759469228055,width_m = 50*exp(mu),0.6,9608.64756732409,1.9567621633795607,-2.9000373579430327e-28,4.750312774129561e-10,-0.0937996493684717,0.0468998246842383,2.908453341172629e-20,-0.8215480485674054,1.5648175474654033e-13,1.564817683427641e-13,6.523148456646023e-09,6.523129687661262e-09,0,3307.45781304711,0.9090168072311627,3006.534741267848,3280.580577015205,0.9164656895171522,3006.5395405308172,0.9522549710446425,0.30530389797833757,3064.458091279302,0.9811817159943743,3006.7902485942705,0.429229488161855,0.0003631848035887987,0.0,2,0.376051369412978,0.6,-0.22394863058702197,8.647567324089323,308.6475673240893,True
fixed_z_width_path,True,converged,9600.0,9.6,200.0,1.3862943611198906,width_m = 50*exp(mu),0.6,9610.02003593068,1.9498998203465994,5.62625710961257e-23,5.490892829592064e-10,-0.08007496330256149,0.04003748165127691,2.9647162022724904e-20,-0.676667640991416,6.383162879649773e-11,6.383162879652116e-11,8.40572733121355e-09,6.38316066670086e-09,6,3005.042628669159,0.9186412535427557,2760.556127350054,2973.3815498281156,0.9284279575406004,2760.570559295822,0.9304053434261171,0.36653225904977194,2792.5083311433004,0.9889365297620395,2761.6134983324396,0.3487667724792732,0.0005606964666271157,0.0,2,0.4096192459218042,0.6,-0.19038075407819577,10.020035930680024,310.02003593068,True
fixed_z_width_path,True,converged,9600.0,9.6,150.0,1.0986122886681098,width_m = 50*exp(mu),0.6,9611.206796982755,1.943966015086221,-1.1275158160247557e-22,6.173246839917359e-10,-0.06820735278180225,0.034103676390898535,2.7957020495738893e-20,-0.5595335819920447,2.9540964837782434e-11,2.954096483793098e-11,9.822779696585105e-09,9.368047551767315e-09,4,2786.1378218678838,0.925596866581311,2578.8404377845923,2756.0298732038414,0.9357174424221663,2578.8652241933855,0.9218632003632591,0.38751547042151707,2602.730198314491,0.9918587037164986,2581.540600623997,0.31395708733738004,0.0006856711643737969,0.0,2,0.4385462655346831,0.6,-0.16145373446531686,11.206796982754895,311.2067969827549,True
fixed_z_width_path,True,converged,9600.0,9.6,100.0,0.6931471805599453,width_m = 50*exp(mu),0.6,9613.025217782906,1.9348739110854676,-3.265811433227159e-27,7.292224069158436e-10,-0.05002314478029849,0.02501157239014528,2.9084503653649317e-20,-0.39294992720710137,8.123687270263242e-14,8.123687774547785e-14,2.8624056470609405e-09,2.862394119270003e-09,6,2508.620231991005,0.934437131163748,2344.1478927610106,2487.167268411161,0.9425101964971279,2344.180510871428,0.9303254036692233,0.36673511324619124,2366.8526654335915,0.9937570458153387,2352.0765126814463,0.29457459616143405,0.000803686318793929,0.0,2,0.48252765684769017,0.6,-0.11747234315230981,13.025217782906111,313.0252177829061,True
fixed_z_width_path,True,converged,9600.0,9.6,75.0,0.4054651081081644,width_m = 50*exp(mu),0.6,9614.25128856679,1.9287435571660576,-1.7670000556323324e-27,8.095365959292375e-10,-0.03776243694146663,0.018881218470735275,2.908451864176309e-20,-0.28846671745778285,6.049569760773138e-14,6.049577475773236e-14,9.661519482736773e-09,9.661517588764612e-09,4,2352.179940462345,0.9394710402358535,2209.804935488067,2338.287976438219,0.9450640892653845,2209.8319968927844,0.9484054846072157,0.3170599892243615,2234.2175476146763,0.9941111636039884,2221.0606060036753,0.298892592061376,0.0008286764741137204,0.0,2,0.511858100438828,0.6,-0.08814189956117202,14.251288566789299,314.2512885667893,True
fixed_z_width_path,True,converged,9600.0,9.6,50.0,0.0,width_m = 50*exp(mu),0.6,9615.666494731655,1.9216675263417247,2.50833611733491e-28,9.069481004326215e-10,-0.023610375292811736,0.011805187646402194,2.9084538820099765e-20,-0.17484347027416278,1.477768496794223e-14,1.477798770048662e-14,9.459103660741289e-09,9.459103545307533e-09,6,2195.430350593893,0.9446211050295148,2073.849843793338,2189.3987695258315,0.9472295769905171,2073.863270321512,0.9741293941714566,0.22599098081815372,2095.3056625923014,0.9937312671934552,2082.17075124547,0.32383424692769236,0.0007920440677410362,0.0,2,0.5453106037815065,0.6,-0.05468939621849345,15.666494731654893,315.6664947316549,True
fixed_z_width_path,True,converged,9600.0,9.6,35.0,-0.35667494393873245,width_m = 50*exp(mu),0.6,9616.556700975436,1.9172164951228226,9.860863743138401e-29,9.707328849122468e-10,-0.014708312855000634,0.007354156427500057,2.908453729785002e-20,-0.10687735995134272,2.3092638912203256e-14,2.3092655248568706e-14,2.746817025464799e-09,2.746816054759322e-09,9,2107.482164720529,0.9476416668608527,1997.1379114552801,2104.9077331732487,0.9488033325407303,1997.143471925533,0.9879281904965042,0.15491252506593262,2015.9962646252359,0.9926974535571149,2001.2743582741273,0.3606103402662692,0.0007142012361750853,0.0,2,0.5661046184617241,0.6,-0.03389538153827587,16.556700975435888,316.5567009754359,True
fixed_z_width_path,True,converged,9600.0,9.6,25.0,-0.6931471805599453,width_m = 50*exp(mu),0.6,9617.139250017695,1.914303749911526,7.722350023886312e-28,1.0134967766952323e-09,-0.008882822432406673,0.00444141121620367,2.908454403411367e-20,-0.06376691210216408,1.5439854598849746e-14,1.543992138058021e-14,4.541150861517107e-09,4.541150599040563e-09,5,2053.427859244355,0.9496572266778359,1950.0526059929998,2052.327148040093,0.9501675540143376,1950.0546662904767,0.9945143469221118,0.10460025700774062,1969.801178951202,0.990881163399814,1951.8388838654923,0.41218338861663867,0.0006093994434383872,0.0,2,0.5796002938043313,0.6,-0.020399706195668665,17.139250017695304,317.1392500176953,True
fixed_z_width_path,True,converged,9600.0,9.6,10.0,-1.6094379124341003,width_m = 50*exp(mu),0.6,9617.892350444235,1.9105382477788269,-1.0777240206666557e-28,1.069956391419737e-09,-0.0013518181670123428,0.0006759090835044209,2.908453523403963e-20,-0.00955552667645705,5.1988012358379565e-14,5.1988091530722776e-14,9.073055982162337e-09,9.073054492722806e-09,6,1985.152605228049,0.9530825709271596,1892.0143486734978,1985.0907866296384,0.9531122684614709,1892.0143827465404,0.9996599149361568,0.026077854011323016,1943.5912878552215,0.9734865182979731,1892.059915808453,0.7398162948553944,0.00013630714157244263,0.00010228363846365037,2,0.5969097659531338,0.6,-0.003090234046866147,17.89235044423549,317.8923504442355,True
fixed_z_width_path,True,converged,9700.0,9.7,300.0,1.791759469228055,width_m = 50*exp(mu),0.7,9606.668441390999,1.9666577930450089,-2.7349007179564654e-29,3.7764089170608254e-10,-0.11359090869937505,0.05679545434968649,2.908453603827358e-20,-1.050984975498239,1.0667879086719037e-13,1.0667881939461844e-13,7.801637815653681e-09,7.801630522076353e-09,4,3883.7956099272287,0.8886115540371028,3451.185652499912,3876.3335835230346,0.8903223528170828,3451.1864363861023,0.9908326049443178,0.13509533292922243,3514.0558622660583,0.9822043796052661,3451.521058095282,0.37046728162861703,0.00039686026480724993,0.0,2,0.3276809822811865,0.4133368827819977,-0.08565590050081123,-93.33155860900115,206.66844139099885,True
fixed_z_width_path,True,converged,9700.0,9.7,200.0,1.3862943611198906,width_m = 50*exp(mu),0.7,9607.204470797946,1.963977646010272,-3.741733947315452e-24,4.0290646943101585e-10,-0.10823061462990018,0.05411530731494969,2.904711897229049e-20,-0.9862242483878927,4.470085957459763e-13,4.470085992154908e-13,5.569565017552964e-09,5.5693856319977554e-09,4,3717.051041841973,0.8931295312241974,3319.8080545367357,3704.5754045056665,0.8961380773446376,3319.811080371941,0.983294630441354,0.18202106950900257,3352.7002573617697,0.9907858116228097,3321.807845618184,0.27142940546483474,0.0006477640736503476,0.0,2,0.3407572760095416,0.4144089415958915,-0.07365166558634989,-92.79552920205424,207.20447079794576,True
fixed_z_width_path,True,converged,9700.0,9.7,150.0,1.0986122886681098,width_m = 50*exp(mu),0.7,9607.697869211052,1.961510653944739,-3.741733947315452e-24,4.268958037854249e-10,-0.10329663049883583,0.05164831524941652,2.904711897229049e-20,-0.928388733406181,2.0478609615393226e-13,2.0478610540051141e-13,6.154009848621886e-09,6.153975775340962e-09,3,3576.104582339455,0.8969670713465759,3207.648054050091,3560.2702022273284,0.9009582871820231,3207.6549433039286,0.9771230995372493,0.21267451269655877,3236.9971052928377,0.9941499265510537,3218.060434472848,0.22042798435991817,0.0008537806703640345,0.0,2,0.3528144171207586,0.41539573842210303,-0.06258132130134442,-92.30213078894849,207.6978692110515,True
fixed_z_width_path,True,converged,9700.0,9.7,100.0,0.6931471805599453,width_m = 50*exp(mu),0.7,9608.526882374175,1.9573655881291225,2.1841672829690985e-28,4.687721501272257e-10,-0.09500649886760852,0.04750324943380015,2.908453849593093e-20,-0.8348118678464346,7.431064280657578e-14,7.431066918928432e-14,6.2618194468023055e-09,6.261815037481959e-09,6,3362.8067201900267,0.9028040533294555,3035.955537551088,3345.9711388851047,0.9073512461407496,3035.9710824183826,0.9725951580425551,0.2325051796244058,3532.5329503887283,0.9966845243427674,3520.8209233833427,0.17137317446493872,0.001173135450831708,0.0,2,0.3730975971602318,0.4170537647483506,-0.04395616758811882,-91.47311762582467,208.52688237417533,True
fixed_z_width_path,True,converged,9700.0,9.7,75.0,0.4054651081081644,width_m = 50*exp(mu),0.7,9609.141545007404,1.9542922749629883,-1.7208016876941532e-24,5.010789801075436e-10,-0.0888598725353303,0.044429936267665865,2.9067328294886706e-20,-0.7681649640339392,2.0234063121945675e-13,2.0234064238183455e-13,6.721046197090651e-09,6.721015739165939e-09,7,3221.310651771553,0.906676974679871,2920.688196252275,3207.9058840405446,0.910471650054628,2920.707363462345,0.9763461202233185,0.2162134443666105,3991.9001171054774,0.9976018520896628,3982.326950181366,0.1491266900818829,0.00139570354775139,0.0,2,0.38814027479431584,0.4182830900148074,-0.03014281522049156,-90.85845499259631,209.1415450074037,True
fixed_z_width_path,True,converged,9700.0,9.7,50.0,0.0,width_m = 50*exp(mu),0.7,9609.87077263803,1.9506461368098484,-4.571519573217943e-29,5.407806789930165e-10,-0.08156759622904894,0.04078379811452611,2.908453585461169e-20,-0.6919149002429427,1.6088792134191457e-14,1.6088994721613055e-14,8.073917965102824e-09,8.07391780480318e-09,8,3069.825423758244,0.9107304907361263,2795.783614653583,3064.0770951206864,0.9124432238034708,2795.796382654293,0.9889444642039061,0.14828636727780858,4516.032102556933,0.9982777129921655,4508.254199139736,0.12958910702377616,0.0016611698361301216,0.0,2,0.4059726544205416,0.4197415452760615,-0.01376889085551991,-90.12922736196924,209.87077263803076,True
fixed_z_width_path,True,converged,9700.0,9.7,35.0,-0.35667494393873245,width_m = 50*exp(mu),0.7,9610.260942797717,1.948695286011416,-1.0112158137842866e-24,5.62628869412962e-10,-0.07766589463219348,0.038832947316093505,2.9074424153625804e-20,-0.6523084886018792,4.925407819974724e-14,4.925414472328489e-14,8.095133045565127e-09,8.095131547155879e-09,4,2996.212108623848,0.9125231981730826,2734.113055766349,2994.7995473737756,0.9129549310015949,2734.1170141362327,0.9971700594656474,0.0751789365798513,4844.970972168491,0.9985663338598402,4838.024901335636,0.11959172195574636,0.0018275335445508375,0.0,2,0.4155014561785746,0.4205218855954336,-0.005020429416858985,-89.73905720228322,210.26094279771678,True
fixed_z_width_path,True,converged,9700.0,9.7,25.0,-0.6931471805599453,width_m = 50*exp(mu),0.7,9610.42436592439,1.9478781703780519,-2.4498576469396944e-28,5.71904557513587e-10,-0.07603166336546158,0.03801583168272947,2.9084533861906e-20,-0.6359565776555771,5.545767345242181e-14,5.5457745416039215e-14,8.934135572697782e-09,8.934133851460278e-09,10,2967.5920585621525,0.9130701566102795,2709.619745666766,2967.409013846042,0.9131266733819002,2709.620321376701,0.9996277687588006,0.027282300605008674,5040.898395894442,0.9986987685319817,5034.339020274621,0.11433293082358048,0.0019216782734477365,0.0,2,0.4194891688884525,0.4208487318487787,-0.0013595629603261883,-89.57563407561065,210.42436592438935,True
fixed_z_width_path,True,converged,9700.0,9.7,10.0,-1.6094379124341003,width_m = 50*exp(mu),0.7,9610.484967640978,1.9475751617951134,2.432048155208352e-28,5.753628534315611e-10,-0.07542564619958514,0.03771282309979085,2.90845387438118e-20,-0.6299278064038163,5.319283147998191e-14,5.319291093556824e-14,9.193989541913567e-09,9.193988003148733e-09,8,2957.9540033075677,0.9131343771634204,2701.0094864883017,2957.954000063842,0.9131343781684338,2701.009486499128,0.9999999933772925,0.00011508872721365009,5162.40566118276,0.9987674516420653,5156.042746562076,0.11131594597853942,0.0019763786073994302,0.0,2,0.42096734461858,0.42096993528195525,-2.590663375268143e-06,-89.51503235902237,210.48496764097763,True
fixed_z_width_path,True,converged,9800.0,9.8,300.0,1.791759469228055,width_m = 50*exp(mu),0.8,9604.60742792012,1.9769628603993983,-2.0159221807675445e-29,2.883130116321886e-10,-0.13420104340815667,0.06710052170407577,2.908453611017143e-20,-1.3208819617278016,6.27224884215184e-14,6.272255083530104e-14,8.848448082230802e-09,8.848445859179364e-09,5,4742.049544388264,0.8586474892517751,4071.748935196507,4732.200533624807,0.8604346857146411,4071.7494788881177,0.9920708402341735,0.12567994254080977,4148.105405189193,0.9816792185468719,4072.1088726161825,0.32515022960360174,0.000397610443492812,0.0,2,0.27780481753084874,0.20921485584024047,0.06858996169060827,-195.39257207987976,104.60742792012024,True
fixed_z_width_path,True,converged,9800.0,9.8,200.0,1.3862943611198906,width_m = 50*exp(mu),0.8,9604.167266854238,1.979163665728814,6.963883757604682e-29,2.7085863171123044e-10,-0.13860265406698566,0.06930132703349158,2.9084537008152024e-20,-1.3833316670506748,6.856493883618021e-14,6.856495610349811e-14,4.8660766454875585e-09,4.866071814950029e-09,6,4990.328326363244,0.8484183401988763,4233.88607570054,4967.173773820027,0.8523737022385361,4233.888299253138,0.9833377682160449,0.1817878807838628,4276.0537556834715,0.9906586018198453,4236.109434911887,0.22063138794045212,0.0006524609362203492,0.0,2,0.2672757694865494,0.20833453370847563,0.05894123577807378,-195.83273314576218,104.16726685423782,True
fixed_z_width_path,True,converged,9800.0,9.8,150.0,1.0986122886681098,width_m = 50*exp(mu),0.8,9603.757491362592,1.9812125431870438,1.7749090881935914e-29,2.5512606839627437e-10,-0.14270040898344133,0.07135020449172133,2.9084536489254557e-20,-1.4431708887616446,2.1800630652602055e-13,2.1800632201538619e-13,8.218032950126184e-09,8.21800403394053e-09,4,5245.324946317229,0.8381312235523678,4396.270615186617,5205.130556577023,0.8446043621376618,4396.275973580989,0.974002215449425,0.22653848304341592,4433.54111041639,0.9941453439785829,4407.584252258091,0.1670020647173636,0.0008639364831843036,0.0,2,0.25752557872718035,0.20751498272518437,0.05001059600199598,-196.2425086374078,103.75749136259219,True
