experiment,z_W0_m,smooth_width_m,eigenvalue_index,real_s_inv,imag_s_inv
two_parameter_map,9600.0,300.0,0,-26.074232568250796,0.0
two_parameter_map,9600.0,300.0,1,-28.11694183516981,0.0
two_parameter_map,9600.0,300.0,2,0.0003631848035887987,0.0
two_parameter_map,9600.0,300.0,3,8.866045790922868e-05,0.0
two_parameter_map,9700.0,300.0,0,-29.92315761853466,0.0
two_parameter_map,9700.0,300.0,1,-31.867864665461138,0.0
two_parameter_map,9700.0,300.0,2,0.00039686026480724993,0.0
two_parameter_map,9700.0,300.0,3,8.290191643654984e-05,0.0
two_parameter_map,9800.0,300.0,0,-35.29545864983062,0.0
two_parameter_map,9800.0,300.0,1,-37.125333832687545,0.0
two_parameter_map,9800.0,300.0,2,0.000397610443492812,0.0
two_parameter_map,9800.0,300.0,3,8.46209055746268e-05,0.0
two_parameter_map,9900.0,300.0,0,-42.79708011280502,0.0
two_parameter_map,9900.0,300.0,1,-44.49793452272592,0.0
two_parameter_map,9900.0,300.0,2,0.0003645238225916682,0.0
two_parameter_map,9900.0,300.0,3,9.43422005192715e-05,0.0
two_parameter_map,9930.0,300.0,0,-45.581818681972756,0.0
two_parameter_map,9930.0,300.0,1,-47.24181369923417,0.0
two_parameter_map,9930.0,300.0,2,0.00034796921416206227,0.0
two_parameter_map,9930.0,300.0,3,9.944853314110556e-05,0.0
two_parameter_map,9950.0,300.0,0,-47.599735677999256,0.0
two_parameter_map,9950.0,300.0,1,-49.232062602045964,0.0
two_parameter_map,9950.0,300.0,2,0.0003351451484450645,0.0
two_parameter_map,9950.0,300.0,3,0.00010367162306749836,0.0
two_parameter_map,10000.0,300.0,0,-53.27682911907463,0.0
two_parameter_map,10000.0,300.0,1,-54.83879783327068,0.0
two_parameter_map,10000.0,300.0,2,0.0002958147709792904,0.0
two_parameter_map,10000.0,300.0,3,0.00011858960397661517,0.0
two_parameter_map,9600.0,200.0,0,-23.93747798981867,0.0
two_parameter_map,9600.0,200.0,1,-26.041888310125778,0.0
two_parameter_map,9600.0,200.0,2,0.0005606964666271157,0.0
two_parameter_map,9600.0,200.0,3,5.61197758082458e-05,0.0
two_parameter_map,9700.0,200.0,0,-28.774880808012732,0.0
two_parameter_map,9700.0,200.0,1,-30.747491810189757,0.0
two_parameter_map,9700.0,200.0,2,0.0006477640736503476,0.0
two_parameter_map,9700.0,200.0,3,5.00238349619977e-05,0.0
two_parameter_map,9800.0,200.0,0,-36.68588516524115,0.0
two_parameter_map,9800.0,200.0,1,-38.489649367218576,0.0
two_parameter_map,9800.0,200.0,2,0.0006524609362203492,0.0
two_parameter_map,9800.0,200.0,3,5.131523974978536e-05,0.0
two_parameter_map,9900.0,200.0,0,-49.66305881714203,0.0
two_parameter_map,9900.0,200.0,1,-51.26881535447461,0.0
two_parameter_map,9900.0,200.0,2,0.0005722263036043113,0.0
two_parameter_map,9900.0,200.0,3,6.0389658165296434e-05,0.0
two_parameter_map,9930.0,200.0,0,-54.993202420106456,0.0
two_parameter_map,9930.0,200.0,1,-56.535991308419995,0.0
two_parameter_map,9930.0,200.0,2,0.0005346065073680466,0.0
two_parameter_map,9930.0,200.0,3,6.519589055070129e-05,0.0
two_parameter_map,9950.0,200.0,0,-59.01712321551479,0.0
two_parameter_map,9950.0,200.0,1,-60.51744499230697,0.0
two_parameter_map,9950.0,200.0,2,0.0005067721081561413,0.0
two_parameter_map,9950.0,200.0,3,6.914796962535956e-05,0.0
two_parameter_map,10000.0,200.0,0,-71.0289487966254,0.0
two_parameter_map,10000.0,200.0,1,-72.42240578688961,0.0
two_parameter_map,10000.0,200.0,2,0.00042884419078546024,0.0
two_parameter_map,10000.0,200.0,3,8.27079498498299e-05,0.0
two_parameter_map,9600.0,150.0,0,-22.358535832370965,0.0
two_parameter_map,9600.0,150.0,1,-24.512332080419302,0.0
two_parameter_map,9600.0,150.0,2,0.0006856711643737969,0.0
two_parameter_map,9600.0,150.0,3,4.5027100823322985e-05,0.0
two_parameter_map,9700.0,150.0,0,-27.791523873681236,0.0
two_parameter_map,9700.0,150.0,1,-29.789055329026954,0.0
two_parameter_map,9700.0,150.0,2,0.0008537806703640345,0.0
two_parameter_map,9700.0,150.0,3,3.743264559664317e-05,0.0
two_parameter_map,9800.0,150.0,0,-38.074850624140225,0.0
two_parameter_map,9800.0,150.0,1,-39.85370096070864,0.0
two_parameter_map,9800.0,150.0,2,0.0008639364831843036,0.0
two_parameter_map,9800.0,150.0,3,3.858003707360684e-05,0.0
two_parameter_map,9900.0,150.0,0,-57.744012635590416,0.0
two_parameter_map,9900.0,150.0,1,-59.25752225021619,0.0
two_parameter_map,9900.0,150.0,2,0.0007091333841995009,0.0
two_parameter_map,9900.0,150.0,3,4.892864880214854e-05,0.0
two_parameter_map,9930.0,150.0,0,-66.6487572989954,0.0
two_parameter_map,9930.0,150.0,1,-68.07834727569627,0.0
two_parameter_map,9930.0,150.0,2,0.0006405539517184293,0.0
two_parameter_map,9930.0,150.0,3,5.472322615425199e-05,0.0
two_parameter_map,9950.0,150.0,0,-73.65021455983857,0.0
two_parameter_map,9950.0,150.0,1,-75.0236918554331,0.0
two_parameter_map,9950.0,150.0,2,0.0005914490495255534,0.0
two_parameter_map,9950.0,150.0,3,5.9631580368757615e-05,0.0
two_parameter_map,10000.0,150.0,0,-95.83768733283195,0.0
two_parameter_map,10000.0,150.0,1,-97.07237813925433,0.0
two_parameter_map,10000.0,150.0,2,0.00046081356926377026,0.0
two_parameter_map,10000.0,150.0,3,7.7512005975773e-05,0.0
two_parameter_map,9600.0,100.0,0,-20.320604091004732,0.0
two_parameter_map,9600.0,100.0,1,-22.54345093606598,0.0
two_parameter_map,9600.0,100.0,2,0.000803686318793929,0.0
two_parameter_map,9600.0,100.0,3,3.739954773514264e-05,0.0
two_parameter_map,9700.0,100.0,0,-26.280659179335046,0.0
two_parameter_map,9700.0,100.0,1,-28.318460699921285,0.0
two_parameter_map,9700.0,100.0,2,0.001173135450831708,0.0
two_parameter_map,9700.0,100.0,3,2.6629776946180584e-05,0.0
two_parameter_map,9800.0,100.0,0,-40.682738103057765,0.0
two_parameter_map,9800.0,100.0,1,-42.417687153018385,0.0
two_parameter_map,9800.0,100.0,2,0.0011971474705141268,0.0
two_parameter_map,9800.0,100.0,3,2.7632017227725813e-05,0.0
two_parameter_map,9900.0,100.0,0,-77.20612046881743,0.0
two_parameter_map,9900.0,100.0,1,-78.55404027181025,0.0
two_parameter_map,9900.0,100.0,2,0.0008525272626162171,0.0
two_parameter_map,9900.0,100.0,3,4.091781326470386e-05,0.0
two_parameter_map,9930.0,100.0,0,-97.12839206234142,0.0
two_parameter_map,9930.0,100.0,1,-98.35661035746064,0.0
two_parameter_map,9930.0,100.0,2,0.0007130992016253449,0.0
two_parameter_map,9930.0,100.0,3,4.9482013700316806e-05,0.0
two_parameter_map,9950.0,100.0,0,-114.12293550732554,0.0
two_parameter_map,9950.0,100.0,1,-115.27293098306195,0.0
two_parameter_map,9950.0,100.0,2,0.0006186338011599458,0.0
two_parameter_map,9950.0,100.0,3,5.73824566444895e-05,0.0
two_parameter_map,10000.0,100.0,0,-174.96535850039098,0.0
two_parameter_map,10000.0,100.0,1,-175.9300332947872,0.0
two_parameter_map,10000.0,100.0,2,0.0003845452680867906,0.0
two_parameter_map,10000.0,100.0,3,9.312104803148164e-05,0.0
two_parameter_map,9600.0,75.0,0,-19.156196221643825,0.0
two_parameter_map,9600.0,75.0,1,-21.42140322897221,0.0
two_parameter_map,9600.0,75.0,2,0.0008286764741137204,0.0
two_parameter_map,9600.0,75.0,3,3.5694246875941735e-05,0.0
two_parameter_map,9700.0,75.0,0,-25.262132778994765,0.0
two_parameter_map,9700.0,75.0,1,-27.328538877804416,0.0
two_parameter_map,9700.0,75.0,2,0.00139570354775139,0.0
two_parameter_map,9700.0,75.0,3,2.2014321956559018e-05,0.0
two_parameter_map,9800.0,75.0,0,-42.873068863675044,0.0
two_parameter_map,9800.0,75.0,1,-44.57376092663966,0.0
two_parameter_map,9800.0,75.0,2,0.0014325608609402443,0.0
two_parameter_map,9800.0,75.0,3,2.2959425322167634e-05,0.0
two_parameter_map,9900.0,75.0,0,-100.26994078829958,0.0
two_parameter_map,9900.0,75.0,1,-101.4825333003234,0.0
two_parameter_map,9900.0,75.0,2,0.0008998118995937188,0.0
two_parameter_map,9900.0,75.0,3,3.883876915724078e-05,0.0
two_parameter_map,9930.0,75.0,0,-137.70643877229972,0.0
two_parameter_map,9930.0,75.0,1,-138.77131838882556,0.0
two_parameter_map,9930.0,75.0,2,0.0006935704124098885,0.0
two_parameter_map,9930.0,75.0,3,5.092970998205127e-05,0.0
two_parameter_map,9950.0,75.0,0,-172.37126996623257,0.0
two_parameter_map,9950.0,75.0,1,-173.34205187715654,0.0
two_parameter_map,9950.0,75.0,2,0.0005596011842701146,0.0
two_parameter_map,9950.0,75.0,3,6.339813362990795e-05,0.0
two_parameter_map,10000.0,75.0,0,-312.7585163223516,0.0
two_parameter_map,10000.0,75.0,1,-313.5169132322367,0.0
two_parameter_map,10000.0,75.0,2,0.00018644161578135733,2.6836908984834737e-05
two_parameter_map,10000.0,75.0,3,0.00018644161578135733,-2.6836908984834737e-05
two_parameter_map,9600.0,50.0,0,-17.98104600624282,0.0
two_parameter_map,9600.0,50.0,1,-20.291266989795517,0.0
two_parameter_map,9600.0,50.0,2,0.0007920440677410362,0.0
two_parameter_map,9600.0,50.0,3,3.675740242614926e-05,0.0
two_parameter_map,9700.0,50.0,0,-24.15249275409829,0.0
two_parameter_map,9700.0,50.0,1,-26.25151539512806,0.0
two_parameter_map,9700.0,50.0,2,0.0016611698361301216,0.0
two_parameter_map,9700.0,50.0,3,1.81282005881575e-05,0.0
two_parameter_map,9800.0,50.0,0,-45.783372364940206,0.0
two_parameter_map,9800.0,50.0,1,-47.44181548201244,0.0
two_parameter_map,9800.0,50.0,2,0.0017090213226745921,0.0
two_parameter_map,9800.0,50.0,3,1.9102853146816595e-05,0.0
two_parameter_map,9900.0,50.0,0,-154.03367994030828,0.0
two_parameter_map,9900.0,50.0,1,-155.05081803442434,0.0
two_parameter_map,9900.0,50.0,2,0.0008981331466552369,0.0
two_parameter_map,9900.0,50.0,3,3.8782019242474316e-05,0.0
two_parameter_map,9930.0,50.0,0,-253.01487721250862,0.0
two_parameter_map,9930.0,50.0,1,-253.84324447835994,0.0
two_parameter_map,9930.0,50.0,2,0.000578361453548289,0.0
two_parameter_map,9930.0,50.0,3,6.0644607844775026e-05,0.0
two_parameter_map,9950.0,50.0,0,0.00038132664375277583,0.0
two_parameter_map,9950.0,50.0,1,9.189071660925092e-05,0.0
two_parameter_map,9950.0,50.0,2,-360.58980739832987,0.0
two_parameter_map,9950.0,50.0,3,-361.304778818703,0.0
two_parameter_map,10000.0,50.0,0,-917.9992221334261,0.0
two_parameter_map,10000.0,50.0,1,-918.4835627995933,0.0
two_parameter_map,10000.0,50.0,2,0.00010024993630409671,0.0001530886525025637
two_parameter_map,10000.0,50.0,3,0.00010024993630409671,-0.0001530886525025637
two_parameter_map,9600.0,35.0,0,-17.32057161476581,0.0
two_parameter_map,9600.0,35.0,1,-19.657096853773794,0.0
two_parameter_map,9600.0,35.0,2,0.0007142012361750853,0.0
two_parameter_map,9600.0,35.0,3,4.045251215242395e-05,0.0
two_parameter_map,9700.0,35.0,0,-23.598597986740863,0.0
two_parameter_map,9700.0,35.0,1,-25.714524437855292,0.0
two_parameter_map,9700.0,35.0,2,0.0018275335445508375,0.0
two_parameter_map,9700.0,35.0,3,1.6281949306427096e-05,0.0
two_parameter_map,9800.0,35.0,0,-47.449240054304106,0.0
two_parameter_map,9800.0,35.0,1,-49.08502378187944,0.0
two_parameter_map,9800.0,35.0,2,0.0018677227654629138,0.0
two_parameter_map,9800.0,35.0,3,1.7393561001190812e-05,0.0
two_parameter_map,9900.0,35.0,0,-234.26025849519306,0.0
two_parameter_map,9900.0,35.0,1,-235.11573008413035,0.0
two_parameter_map,9900.0,35.0,2,0.000856895456942172,0.0
two_parameter_map,9900.0,35.0,3,4.028319246298711e-05,0.0
two_parameter_map,9930.0,35.0,0,-486.9655011945365,0.0
two_parameter_map,9930.0,35.0,1,-487.5965394602827,0.0
two_parameter_map,9930.0,35.0,2,0.00041437674649815755,0.0
two_parameter_map,9930.0,35.0,3,8.324192127020055e-05,0.0
two_parameter_map,9950.0,35.0,0,-822.6064105948485,0.0
two_parameter_map,9950.0,35.0,1,-823.1135255381976,0.0
two_parameter_map,9950.0,35.0,2,0.00015554470228260807,9.696140241256938e-05
two_parameter_map,9950.0,35.0,3,0.00015554470228260807,-9.696140241256938e-05
two_parameter_map,10000.0,35.0,0,-3270.753227809519,0.0
two_parameter_map,10000.0,35.0,1,-3271.0382300732144,0.0
two_parameter_map,10000.0,35.0,2,4.069554588872831e-05,0.0001655260072816021
two_parameter_map,10000.0,35.0,3,4.069554588872831e-05,-0.0001655260072816021
two_parameter_map,9600.0,25.0,0,-16.91727219246174,0.0
two_parameter_map,9600.0,25.0,1,-19.27018729424785,0.0
two_parameter_map,9600.0,25.0,2,0.0006093994434383872,0.0
two_parameter_map,9600.0,25.0,3,4.72781231454801e-05,0.0
two_parameter_map,9700.0,25.0,0,-23.37426720894372,0.0
two_parameter_map,9700.0,25.0,1,-25.497182298802883,0.0
two_parameter_map,9700.0,25.0,2,0.0019216782734477365,0.0
two_parameter_map,9700.0,25.0,3,1.5389672405537304e-05,0.0
two_parameter_map,9800.0,25.0,0,-48.12885344854163,0.0
two_parameter_map,9800.0,25.0,1,-49.75569881804445,0.0
two_parameter_map,9800.0,25.0,2,0.0019447758572654608,0.0
two_parameter_map,9800.0,25.0,3,1.66588402187338e-05,0.0
two_parameter_map,9900.0,25.0,0,-359.12528925101736,0.0
two_parameter_map,9900.0,25.0,1,-359.8418362667711,0.0
two_parameter_map,9900.0,25.0,2,0.0007960370926362466,0.0
two_parameter_map,9900.0,25.0,3,4.292462165207302e-05,0.0
two_parameter_map,9930.0,25.0,0,-1030.8572509952319,0.0
two_parameter_map,9930.0,25.0,1,-1031.318881460253,0.0
two_parameter_map,9930.0,25.0,2,0.0001722270824938916,5.632388362161458e-05
two_parameter_map,9930.0,25.0,3,0.0001722270824938916,-5.632388362161458e-05
two_parameter_map,9950.0,25.0,0,-2206.993316152627,0.0
two_parameter_map,9950.0,25.0,1,-2207.3292462529566,0.0
two_parameter_map,9950.0,25.0,2,8.389877836607288e-05,0.0001529918656090603
two_parameter_map,9950.0,25.0,3,8.389877836607288e-05,-0.0001529918656090603
two_parameter_map,10000.0,25.0,0,-15918.00539438973,0.0
two_parameter_map,10000.0,25.0,1,-15918.152572857542,0.0
two_parameter_map,10000.0,25.0,2,1.0670129610887662e-05,0.00015649438022999245
two_parameter_map,10000.0,25.0,3,1.0670129610887662e-05,-0.00015649438022999245
two_parameter_map,9600.0,10.0,0,-16.426697872489427,0.0
two_parameter_map,9600.0,10.0,1,-18.79967509284868,0.0
two_parameter_map,9600.0,10.0,2,0.00013630714157244263,0.00010228363846365037
two_parameter_map,9600.0,10.0,3,0.00013630714157244263,-0.00010228363846365037
two_parameter_map,9700.0,10.0,0,-23.29219139296923,0.0
two_parameter_map,9700.0,10.0,1,-25.417700502173904,0.0
two_parameter_map,9700.0,10.0,2,0.0019763786073994302,0.0
two_parameter_map,9700.0,10.0,3,1.4916555019781613e-05,0.0
two_parameter_map,9800.0,10.0,0,-48.34703681923211,0.0
two_parameter_map,9800.0,10.0,1,-49.971057457749886,0.0
two_parameter_map,9800.0,10.0,2,0.0019797290671261006,0.0
two_parameter_map,9800.0,10.0,3,1.6342086868546895e-05,0.0
two_parameter_map,9900.0,10.0,0,-1467.4202706239366,0.0
two_parameter_map,9900.0,10.0,1,-1467.8189401239133,0.0
two_parameter_map,9900.0,10.0,2,0.0005044350131347308,0.0
two_parameter_map,9900.0,10.0,3,6.175996441945882e-05,0.0
two_parameter_map,9930.0,10.0,0,-26475.91113891935,0.0
two_parameter_map,9930.0,10.0,1,-26476.03014050925,0.0
two_parameter_map,9930.0,10.0,2,1.6862024382314448e-05,0.0001970834530651201
two_parameter_map,9930.0,10.0,3,1.6862024382314448e-05,-0.0001970834530651201
