iteration,residual_norm,correction_norm,state_jacobian_condition,state_jacobian_min_singular_value,linear_solver,step_factor,experiment,z_W0_m,smooth_width_m
0,42.187361069685636,0.07019318478421212,6672.077413759592,0.787054319537692,solve,1.0,two_parameter_map,9950.0,300.0
1,0.9877037174217931,0.001572564856654793,6983.468165246451,0.7873651540691169,solve,1.0,two_parameter_map,9950.0,300.0
2,0.0005584179707959377,8.218632089564028e-07,6976.373630902116,0.7873571648597353,solve,1.0,two_parameter_map,9950.0,300.0
3,6.832789217094213e-08,1.4950751836763162e-11,6976.372245770414,0.7873571945348332,solve,0.5,two_parameter_map,9950.0,300.0
4,3.700002750799282e-08,8.13259553844504e-12,6976.369988450838,0.7873571594112744,solve,0.5,two_parameter_map,9950.0,300.0
5,2.0146772355073437e-08,4.410054727316936e-12,6976.369989996837,0.7873571594349033,solve,0.5,two_parameter_map,9950.0,300.0
0,105.69758569471546,0.1882905397419686,7256.508736067884,0.7540373439540473,solve,1.0,two_parameter_map,10000.0,300.0
1,6.84369807203333,0.010755914003789013,8203.673257202154,0.7548011726563856,solve,1.0,two_parameter_map,10000.0,300.0
2,0.026827330074797505,3.860784143527355e-05,8146.647181814028,0.7547519194512198,solve,1.0,two_parameter_map,10000.0,300.0
3,6.716908014887016e-07,5.611409448706264e-10,8146.449179933912,0.7547517246320428,solve,1.0,two_parameter_map,10000.0,300.0
4,2.4257983695643083e-07,9.525686685995872e-11,8146.446579314933,0.754751688773325,solve,1.0,two_parameter_map,10000.0,300.0
5,8.62145198170161e-08,1.6925952764503366e-11,8146.446579908605,0.7547516888173942,solve,0.5,two_parameter_map,10000.0,300.0
6,4.956546950123723e-08,4.864964788301662e-12,8146.449172092384,0.754751724570481,solve,0.25,two_parameter_map,10000.0,300.0
7,1.1458571736327237e-08,2.8154959953259546e-13,8146.449159545383,0.7547517244063717,solve,0.0625,two_parameter_map,10000.0,300.0
0,66.78686979651206,0.11449823401734158,8807.861546629427,0.7192947845454635,solve,1.0,two_parameter_map,9950.0,200.0
1,2.568643333480625,0.004100848762483153,9492.68217074085,0.7196460638719862,solve,1.0,two_parameter_map,9950.0,200.0
2,0.0038091428995028504,5.581779305376757e-06,9467.38101229153,0.7196309687893306,solve,1.0,two_parameter_map,9950.0,200.0
3,1.5751341213684694e-07,5.584439049177619e-11,9467.347120666645,0.719630940070731,solve,1.0,two_parameter_map,9950.0,200.0
0,165.22061445314708,0.3167233833075294,10339.308285862096,0.6559115378792189,solve,1.0,two_parameter_map,10000.0,200.0
1,18.549757647054218,0.02877059466774501,12728.9167667028,0.65662735475968,solve,1.0,two_parameter_map,10000.0,200.0
2,0.19829471375519275,0.00027797741839821576,12491.601494464823,0.6565491251997281,solve,1.0,two_parameter_map,10000.0,200.0
3,2.7365675410246784e-05,2.6144186346331707e-08,12489.35565812067,0.6565479490789475,solve,1.0,two_parameter_map,10000.0,200.0
4,4.218455462949708e-08,6.6800169816214595e-12,12489.355425032405,0.6565479485417354,solve,0.5,two_parameter_map,10000.0,200.0
5,2.2804422717937284e-08,3.6085542845556014e-12,12489.359036630633,0.6565479989841079,solve,0.5,two_parameter_map,10000.0,200.0
6,1.0911224648232405e-08,1.729946491668905e-12,12489.35903934288,0.6565479990155434,solve,0.5,two_parameter_map,10000.0,200.0
0,1.9952526987441312e-08,4.128354173764332e-12,9212.183671229228,0.7238196771931955,solve,0.5,two_parameter_map,9900.0,150.0
1,1.295618505786798e-08,1.3394981248518992e-12,9212.183689113132,0.7238196776130633,solve,0.25,two_parameter_map,9900.0,150.0
0,92.01876905056582,0.16267072396140453,11989.01138876824,0.6405173797126363,solve,1.0,two_parameter_map,9950.0,150.0
1,5.078136224575081,0.008099437709418511,13343.369344459024,0.6407616125486272,solve,1.0,two_parameter_map,9950.0,150.0
2,0.01508833952777621,2.1784756838058106e-05,13272.727896152997,0.6407445548654347,solve,1.0,two_parameter_map,9950.0,150.0
3,2.0344223942690984e-07,1.724888427222618e-10,13272.544144490717,0.6407445424333148,solve,1.0,two_parameter_map,9950.0,150.0
4,3.090218882535079e-08,5.102756127844207e-12,13272.540665818173,0.6407444788371796,solve,0.5,two_parameter_map,9950.0,150.0
5,1.7086650526667587e-08,2.824069747592546e-12,13272.540688644778,0.6407444791898479,solve,0.5,two_parameter_map,9950.0,150.0
0,223.92558756762693,0.46362130035951393,15547.554269247386,0.5444141885781695,solve,1.0,two_parameter_map,10000.0,150.0
1,38.312119226362086,0.05785023402252525,21122.9297003171,0.5446459950956788,solve,1.0,two_parameter_map,10000.0,150.0
2,0.8472813043428569,0.0011371419554557676,20332.76271470032,0.5445931323887273,solve,1.0,two_parameter_map,10000.0,150.0
3,0.0005052443731217557,4.3592750457731893e-07,20317.679514923166,0.544590868607912,solve,1.0,two_parameter_map,10000.0,150.0
4,1.2495793980456668e-07,1.6150360776665893e-11,20317.67900442258,0.544590922444604,solve,0.5,two_parameter_map,10000.0,150.0
5,6.46777037564369e-08,8.346930555775158e-12,20317.679004759462,0.5445909223865685,solve,0.5,two_parameter_map,10000.0,150.0
6,3.3291731368849114e-08,4.3054009486519504e-12,20317.678998632888,0.5445909223590858,solve,0.5,two_parameter_map,10000.0,150.0
7,1.4840387833192533e-08,1.917198006103154e-12,20317.679027121718,0.544590922659959,solve,0.5,two_parameter_map,10000.0,150.0
0,142.10341492680314,0.2671520818677423,23468.14265916832,0.47699031227128635,solve,1.0,two_parameter_map,9950.0,100.0
1,13.257099576213381,0.02086323479492632,28026.797230484604,0.4767673802832024,solve,1.0,two_parameter_map,9950.0,100.0
2,0.1060992943336048,0.00014513694672431708,27642.146319140502,0.4767739251103861,solve,1.0,two_parameter_map,9950.0,100.0
3,7.5556323248922764e-06,6.932448713286839e-09,27639.516197872483,0.4767739008239262,solve,1.0,two_parameter_map,9950.0,100.0
4,1.3412420100105395e-07,1.749230812471344e-11,27639.516096380936,0.47677390120181895,solve,0.5,two_parameter_map,9950.0,100.0
5,6.956201132459409e-08,9.075602135604936e-12,27639.516039021495,0.47677390051315954,solve,0.5,two_parameter_map,9950.0,100.0
6,3.149983228327069e-08,2.0536765383379523e-12,27639.516064936848,0.47677390081483617,solve,0.25,two_parameter_map,9950.0,100.0
0,333.35224490113296,0.8089809402421979,38763.29466078847,0.3385962871843826,solve,1.0,two_parameter_map,10000.0,100.0
1,112.68485814962926,0.15222184605983,66452.83954879125,0.3378977730929094,solve,1.0,two_parameter_map,10000.0,100.0
2,7.193848686643785,0.008227063757499925,60065.47166413198,0.3379466428542599,solve,1.0,two_parameter_map,10000.0,100.0
3,0.03457639830101976,2.2814662761363625e-05,59739.96914224448,0.3379467937808442,solve,1.0,two_parameter_map,10000.0,100.0
4,1.5865514961992679e-06,3.67224013101306e-10,59739.08347427251,0.3379467775601323,solve,1.0,two_parameter_map,10000.0,100.0
5,4.6425620815710985e-07,8.221006113950305e-11,59739.0834686839,0.33794677755609337,solve,1.0,two_parameter_map,10000.0,100.0
6,1.6786751814281353e-08,1.4864198855285776e-12,59739.08344313683,0.33794677750666435,solve,0.5,two_parameter_map,10000.0,100.0
0,190.7623709611771,0.381345519193274,46682.40011941597,0.339988484458561,solve,1.0,two_parameter_map,9950.0,75.0
1,26.572420201249717,0.04052237562255602,60212.21406911624,0.339510522659114,solve,1.0,two_parameter_map,9950.0,75.0
2,0.4453973498163579,0.0005534352486212081,58611.108476102665,0.33954004208198485,solve,1.0,two_parameter_map,9950.0,75.0
3,0.0001427687945340425,1.0321268508009727e-07,58589.65299070114,0.3395401880611776,solve,1.0,two_parameter_map,9950.0,75.0
4,1.572660334959842e-07,8.347175015900764e-12,58589.64906415974,0.33954018805016206,solve,0.25,two_parameter_map,9950.0,75.0
5,4.0837406707520176e-08,4.330415113848269e-12,58589.649069149375,0.3395401880686424,solve,0.5,two_parameter_map,9950.0,75.0
6,2.238258296640265e-08,2.3807207457005567e-12,58589.64904737953,0.3395401879518671,solve,0.5,two_parameter_map,9950.0,75.0
7,1.1594879833206693e-08,1.232575104663306e-12,58589.64904901568,0.33954018801079755,solve,0.5,two_parameter_map,9950.0,75.0
0,430.38734172594735,1.228664529374044,99664.40824614617,0.1989999927918999,solve,1.0,two_parameter_map,10000.0,75.0
1,284.27780678747484,0.29590568409418977,225232.176452941,0.19908392188153887,solve,1.0,two_parameter_map,10000.0,75.0
2,39.84190836851118,0.033491128822754984,185283.4504621143,0.19888800115646402,solve,1.0,two_parameter_map,10000.0,75.0
3,0.8463303858328204,0.00038494188681679114,181239.15071238214,0.1988703473827208,solve,1.0,two_parameter_map,10000.0,75.0
4,0.00021435237042992175,5.226333141069105e-08,181193.56754598918,0.19887022224553805,solve,1.0,two_parameter_map,10000.0,75.0
5,4.5697507500297857e-07,2.844641290864999e-11,181193.52478661152,0.1988701997367465,solve,0.5,two_parameter_map,10000.0,75.0
6,2.114133216047767e-07,1.3152038501212621e-11,181193.52482265144,0.19887019972239336,solve,0.5,two_parameter_map,10000.0,75.0
7,1.0451811005400572e-07,6.514060447932069e-12,181193.52483688603,0.19887019973328496,solve,0.5,two_parameter_map,10000.0,75.0
8,4.9187448663667843e-08,3.068513827452901e-12,181193.56151670014,0.19887022222151468,solve,0.5,two_parameter_map,10000.0,75.0
9,1.7539408871785444e-08,1.094945791392672e-12,181193.52497600214,0.19887019981790763,solve,0.5,two_parameter_map,10000.0,75.0
0,2.3267273758771013e-08,2.846557704121003e-16,122230.55188292652,0.23871229483618925,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
1,2.3267273758771013e-08,2.846557704123105e-16,122230.55188107844,0.23871229483610562,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
2,2.3267303602251423e-08,2.2772066262069146e-15,122230.55188106648,0.23871229483612896,solve,0.00048828125,two_parameter_map,9930.0,50.0
3,2.3267303602251423e-08,2.8465082826628277e-16,122230.55187643462,0.2387122948451749,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
4,2.326733887176983e-08,2.846458886248646e-16,122230.55187834254,0.23871229484514173,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
5,2.326733887176983e-08,2.846458886248646e-16,122230.55187834254,0.23871229484514173,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
6,2.326733887176983e-08,2.846458886248646e-16,122230.55187834254,0.23871229484514173,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
7,2.326733887176983e-08,2.846458886248646e-16,122230.55187834254,0.23871229484514173,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
8,2.326733887176983e-08,2.846458886248646e-16,122230.55187834254,0.23871229484514173,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
9,2.326733887176983e-08,2.846458886248646e-16,122230.55187834254,0.23871229484514173,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
10,2.326733887176983e-08,2.846458886248646e-16,122230.55187834254,0.23871229484514173,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
11,2.326737956730156e-08,2.846409514792341e-16,122230.5518764466,0.23871229484515152,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
12,2.326737956730156e-08,2.846409514792341e-16,122230.5518764466,0.23871229484515152,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
13,2.326737956730156e-08,2.846409514790245e-16,122230.5518783784,0.23871229484507167,solve,6.103515625e-05,two_parameter_map,9930.0,50.0
0,283.69579952358526,0.6410155295497434,169358.91053713037,0.17206658140331352,solve,1.0,two_parameter_map,9950.0,50.0
1,80.90463155897368,0.10368670038026917,258502.22847387416,0.1725189320357024,solve,1.0,two_parameter_map,9950.0,50.0
2,4.348676639670922,0.0037861419062105365,241461.01290786313,0.17242092213633362,solve,1.0,two_parameter_map,9950.0,50.0
3,0.010729623669664061,4.890354103048357e-06,240860.91826150514,0.17241787627262317,solve,1.0,two_parameter_map,9950.0,50.0
4,8.550184397125372e-07,1.227167023191621e-10,240860.14722908125,0.17241787363784133,solve,1.0,two_parameter_map,9950.0,50.0
5,1.1792048075488358e-07,8.709311152562161e-12,240860.10683541925,0.17241784930885176,solve,0.5,two_parameter_map,9950.0,50.0
6,4.8769574922252354e-08,3.592831196086041e-12,240860.14709081143,0.1724178735486808,solve,0.5,two_parameter_map,9950.0,50.0
7,2.2031686879908418e-08,1.6290297714038574e-12,240860.1470712613,0.17241787352553972,solve,0.5,two_parameter_map,9950.0,50.0
8,1.1608807273725898e-08,8.596501107814285e-13,240860.147085012,0.1724178735342485,solve,0.5,two_parameter_map,9950.0,50.0
9,1.0098994402785168e-08,3.6537666448785223e-13,240860.14725066154,0.17241787369047284,solve,0.25,two_parameter_map,9950.0,50.0
0,588.4398601325004,1.1658318830922105,593652.7137055733,0.06984346500085131,solve,0.5,two_parameter_map,10000.0,50.0
1,253.3802766414482,0.2584969120343504,1282198.6562193602,0.07008936963509585,solve,1.0,two_parameter_map,10000.0,50.0
2,36.148384735404996,0.0200649271463598,1520783.7148078082,0.07013972702694683,solve,1.0,two_parameter_map,10000.0,50.0
3,0.38905691002412984,0.0001386445609285111,1500830.8188134148,0.07013349923484825,solve,1.0,two_parameter_map,10000.0,50.0
4,3.009707673819777e-05,6.7798645507521404e-09,1500694.4429063883,0.07013341917291042,solve,1.0,two_parameter_map,10000.0,50.0
5,2.0267459779114306e-06,1.31681885507713e-10,1500694.4365217236,0.07013341916491214,solve,1.0,two_parameter_map,10000.0,50.0
6,3.6501047579640265e-07,5.9288867451595365e-12,1500694.7406103285,0.07013342285294981,solve,0.25,two_parameter_map,10000.0,50.0
7,1.0817357560552443e-07,3.5241462806714184e-12,1500694.4358765257,0.07013341915157008,solve,0.5,two_parameter_map,10000.0,50.0
8,5.3204506632974434e-08,1.7293719284673657e-12,1500694.7418957772,0.07013342286739668,solve,0.5,two_parameter_map,10000.0,50.0
9,4.413359011326559e-08,1.4366580346323911e-12,1500694.7402259002,0.07013342284652559,solve,0.5,two_parameter_map,10000.0,50.0
10,3.022339452826922e-08,9.759188168266638e-13,1500694.4358335966,0.07013341915371687,solve,0.5,two_parameter_map,10000.0,50.0
11,1.8364233128032242e-08,5.902952989520971e-13,1500694.4360799806,0.0701334191545219,solve,0.5,two_parameter_map,10000.0,50.0
0,9.179129721016446e-07,1.3888281021110373e-10,434932.38208709983,0.128794952310553,solve,1.0,two_parameter_map,9930.0,35.0
1,5.719954091030923e-07,2.1627464325907427e-11,434932.3821683819,0.12879495231071575,solve,0.25,two_parameter_map,9930.0,35.0
2,1.7145016161502045e-07,1.2948228680108413e-11,434932.38248999923,0.1287949523999384,solve,0.5,two_parameter_map,9930.0,35.0
3,8.512512752429857e-08,6.450511357795458e-12,434932.38207234145,0.12879495228998322,solve,0.5,two_parameter_map,9930.0,35.0
4,4.1955720110991596e-08,3.1628767446403964e-12,434932.38195319683,0.12879495227789464,solve,0.5,two_parameter_map,9930.0,35.0
5,1.9169001081023517e-08,1.4465834376501366e-12,434932.382132506,0.1287949522978162,solve,0.5,two_parameter_map,9930.0,35.0
0,392.9728924111695,1.0371610737497674,721768.0172432999,0.0775513996934747,solve,1.0,two_parameter_map,9950.0,35.0
1,211.26510226801636,0.23011236138456054,1433970.9774259035,0.07765632642331279,solve,1.0,two_parameter_map,9950.0,35.0
2,21.83019839418642,0.01941458584484951,1230287.0395299864,0.07770738477067066,solve,1.0,two_parameter_map,9950.0,35.0
3,0.24868989266721056,0.00012598946424781818,1214456.0600924508,0.07771394380283711,solve,1.0,two_parameter_map,9950.0,35.0
4,1.820927049008403e-05,5.195907449269482e-09,1214353.4883550615,0.07771402534440591,solve,1.0,two_parameter_map,9950.0,35.0
5,2.4851987645735223e-06,1.2039578115287552e-10,1214353.48389138,0.07771402535365779,solve,0.5,two_parameter_map,9950.0,35.0
6,1.1217211287645182e-06,5.434453750237125e-11,1214353.2632616311,0.077714019040314,solve,0.5,two_parameter_map,9950.0,35.0
7,5.266713895335437e-07,2.55319626998924e-11,1214353.4840805158,0.07771402535358503,solve,0.5,two_parameter_map,9950.0,35.0
8,2.576878502534549e-07,1.247682919372478e-11,1214353.4842948443,0.07771402535107207,solve,0.5,two_parameter_map,9950.0,35.0
9,1.2412431143339396e-07,5.994173066481868e-12,1214353.4836176918,0.07771402534780258,solve,0.5,two_parameter_map,9950.0,35.0
10,6.689483985859627e-08,3.2362514278968686e-12,1214353.4858635345,0.07771402539743044,solve,0.5,two_parameter_map,9950.0,35.0
11,4.162752527821646e-08,2.0342703075739752e-12,1214353.4838631693,0.07771402535146593,solve,0.5,two_parameter_map,9950.0,35.0
12,2.8159527786646503e-08,1.3568256092737465e-12,1214353.484141699,0.07771402535451863,solve,0.5,two_parameter_map,9950.0,35.0
13,1.572692987122598e-08,7.394932929114267e-13,1214353.4840189274,0.07771402534807681,solve,0.5,two_parameter_map,9950.0,35.0
0,729.9948012826992,2.2285823466204002,4736336.849966907,0.019911973067857046,solve,0.5,two_parameter_map,10000.0,35.0
1,676.4632176669709,0.14954840176569317,20868383.31165796,0.019800451032375554,solve,1.0,two_parameter_map,10000.0,35.0
2,53.610413160051266,0.00778468602174103,18865852.334408972,0.01983600273188346,solve,1.0,two_parameter_map,10000.0,35.0
3,0.23992286118930403,1.9933178183058122e-05,18766052.301618952,0.019838999733378514,solve,1.0,two_parameter_map,10000.0,35.0
4,2.0143015024808895e-06,5.7097358938110834e-11,18765793.0965188,0.019839012766662396,solve,0.5,two_parameter_map,10000.0,35.0
5,9.110294543722372e-07,8.825229187824701e-13,18765795.79887794,0.019839013379369167,solve,0.125,two_parameter_map,10000.0,35.0
6,6.130050379419967e-07,1.967406125250701e-12,18765795.78082572,0.019839013375372007,solve,0.25,two_parameter_map,10000.0,35.0
7,1.830639758233472e-07,6.389594967172873e-12,18765793.07187321,0.019839012761329388,solve,0.5,two_parameter_map,10000.0,35.0
8,7.353694183614282e-08,5.590301717184291e-12,18765793.079317935,0.019839012762441904,solve,0.5,two_parameter_map,10000.0,35.0
9,4.8369830582703896e-08,3.9087621771698166e-13,18765793.094066378,0.019839012765936217,solve,0.125,two_parameter_map,10000.0,35.0
10,1.3801343470354951e-08,5.31005102814251e-16,18765793.094122488,0.01983901276586273,solve,0.0001220703125,two_parameter_map,10000.0,35.0
11,1.3801343470354951e-08,5.31005102814252e-16,18765793.094122488,0.01983901276586273,solve,0.0001220703125,two_parameter_map,10000.0,35.0
12,1.3801343470354951e-08,5.31005102814253e-16,18765793.094122488,0.01983901276586273,solve,0.0001220703125,two_parameter_map,10000.0,35.0
13,1.3801343470354951e-08,5.310051028142541e-16,18765793.094122488,0.01983901276586273,solve,0.0001220703125,two_parameter_map,10000.0,35.0
0,516.8663655676736,0.8546864175515922,4027254.0850767842,0.029320049376307954,solve,0.5,two_parameter_map,9950.0,25.0
1,179.27753140533332,0.3170297355070253,7114826.4168768525,0.029246168500896265,solve,1.0,two_parameter_map,9950.0,25.0
2,20.42551687755839,0.029096993223030547,8783482.44124263,0.02922963062286492,solve,1.0,two_parameter_map,9950.0,25.0
3,0.19768325139654755,0.00028556811911005476,8615300.924672619,0.029231038465593186,solve,1.0,two_parameter_map,9950.0,25.0
4,1.901775083335316e-05,2.7155793852593337e-08,8613665.215008602,0.029231050359306836,solve,1.0,two_parameter_map,9950.0,25.0
5,1.2468514016658895e-06,3.551075595438743e-11,8613666.311664853,0.029231051986085235,solve,0.5,two_parameter_map,9950.0,25.0
6,5.755926105013704e-07,1.640314941908324e-11,8613665.062821202,0.029231050363614966,solve,0.5,two_parameter_map,9950.0,25.0
7,2.7037563237552126e-07,7.685793012466062e-12,8613665.07440661,0.029231050378988165,solve,0.5,two_parameter_map,9950.0,25.0
8,1.340481867158576e-07,3.839313615234712e-12,8613665.065662922,0.029231050371173323,solve,0.5,two_parameter_map,9950.0,25.0
9,7.766946711997193e-08,2.2439039140670945e-12,8613665.068395913,0.029231050374051493,solve,0.5,two_parameter_map,9950.0,25.0
10,7.524824036068881e-08,1.0826000361091813e-12,8613666.320584605,0.02923105199458467,solve,0.25,two_parameter_map,9950.0,25.0
11,3.113829730642902e-08,1.700948663106769e-15,8613663.83123822,0.02923104876708274,solve,0.0009765625,two_parameter_map,9950.0,25.0
12,3.113829730642902e-08,8.504743315533845e-16,8613663.83123822,0.02923104876708274,solve,0.00048828125,two_parameter_map,9950.0,25.0
13,3.113829730642902e-08,4.2523716578694225e-16,8613663.831433605,0.029231048766419687,solve,0.000244140625,two_parameter_map,9950.0,25.0
0,842.6343691584872,2.3216181942430696,61222509.57765073,0.004111803045633114,solve,0.25,two_parameter_map,10000.0,25.0
1,794.4529553440201,0.8026849575843692,287016102.86408454,0.0040887163420949705,solve,1.0,two_parameter_map,10000.0,25.0
2,435.47079706143967,0.15198653533399517,488361446.4921422,0.004093812851737934,solve,1.0,two_parameter_map,10000.0,25.0
3,30.2854178293984,0.008331864931471047,441669532.90807843,0.004092131940030991,solve,1.0,two_parameter_map,10000.0,25.0
4,0.12780007405181945,2.3592523248581576e-05,439249301.36848414,0.0040919835015851645,solve,1.0,two_parameter_map,10000.0,25.0
5,1.4226553407937095e-05,2.9124291452016646e-11,439242461.1661729,0.004091982763644225,solve,0.5,two_parameter_map,10000.0,25.0
6,5.920923678647351e-06,8.475510869779716e-11,439242461.49914265,0.004091982764169167,solve,0.5,two_parameter_map,10000.0,25.0
7,2.320701308036052e-06,1.335393621056939e-11,439242460.999288,0.004091982763305493,solve,0.5,two_parameter_map,10000.0,25.0
8,1.154976646545712e-06,1.935853569192777e-11,439242461.4497516,0.004091982763904314,solve,0.5,two_parameter_map,10000.0,25.0
9,7.213602840343538e-07,2.581804271121674e-12,439242494.654572,0.004091982826306477,solve,0.5,two_parameter_map,10000.0,25.0
10,3.501634724624866e-07,5.203335970712966e-12,439242461.30344397,0.004091982763718279,solve,0.5,two_parameter_map,10000.0,25.0
11,1.021846001787417e-07,1.34430547119457e-13,439242494.900493,0.004091982826877169,solve,0.0625,two_parameter_map,10000.0,25.0
12,1.0214726954460718e-07,9.314059380759395e-16,439242494.8483613,0.004091982826818414,solve,0.00048828125,two_parameter_map,10000.0,25.0
13,1.0214726954460718e-07,2.3285148451487106e-16,439242494.83009386,0.004091982826918831,solve,0.0001220703125,two_parameter_map,10000.0,25.0
0,2.400178598628274e-07,6.814196450579885e-16,1216014596.8575711,0.0024536172509650243,solve,0.0001220703125,two_parameter_map,9930.0,10.0
1,2.400178598628274e-07,3.407098225291225e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
2,2.400178598628274e-07,3.407098225291224e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
3,2.400178598628274e-07,3.407098225291223e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
4,2.400178598628274e-07,3.407098225291222e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
5,2.400178598628274e-07,3.407098225291221e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
6,2.400178598628274e-07,3.40709822529122e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
7,2.400178598628274e-07,3.407098225291219e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
8,2.400178598628274e-07,3.407098225291218e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
9,2.400178598628274e-07,3.407098225291217e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
10,2.400178598628274e-07,3.4070982252912154e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
11,2.400178598628274e-07,3.4070982252912144e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
12,2.400178598628274e-07,3.407098225291214e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
13,2.400178598628274e-07,3.4070982252912124e-16,1216014596.8646736,0.002453617250908509,solve,6.103515625e-05,two_parameter_map,9930.0,10.0
0,846.7578984259429,1.1943768462706228,8913822210.01451,0.00033471749234790545,solve,0.125,two_parameter_map,9950.0,10.0
1,707.530758587202,1.7457046439904833,19743279982.929806,0.00033425335362206426,solve,0.5,two_parameter_map,9950.0,10.0
2,326.44923880471276,0.05910652614833431,63116737440.07568,0.0003340107872804335,solve,1.0,two_parameter_map,9950.0,10.0
3,9.709724078633153,0.001146428977710918,65636361332.17769,0.00033407776124728467,solve,1.0,two_parameter_map,9950.0,10.0
4,0.005185838137368174,4.468938540052555e-07,65586670890.209915,0.00033407582792711524,solve,1.0,two_parameter_map,9950.0,10.0
5,4.076921257621521e-05,2.0241447954750088e-11,65586651558.820404,0.0003340758271258962,solve,0.125,two_parameter_map,9950.0,10.0
6,2.626724753858886e-05,5.216342788292388e-11,65586650199.27744,0.000334075824893657,solve,0.5,two_parameter_map,9950.0,10.0
7,1.1119891705745067e-05,2.7558403683990098e-12,65586651607.17698,0.0003340758269366572,solve,0.0625,two_parameter_map,9950.0,10.0
8,8.852440358645118e-06,4.280461399650762e-15,65586651572.43589,0.000334075827106694,solve,0.0001220703125,two_parameter_map,9950.0,10.0
9,8.852440358645118e-06,2.140230699879524e-15,65586651527.87686,0.00033407582733366233,solve,6.103515625e-05,two_parameter_map,9950.0,10.0
10,8.852447317481085e-06,4.27953714093318e-15,65586651550.13293,0.0003340758272202964,solve,0.0001220703125,two_parameter_map,9950.0,10.0
11,8.852447317481085e-06,2.1397685704688677e-15,65586651615.77302,0.0003340758268800874,solve,6.103515625e-05,two_parameter_map,9950.0,10.0
12,8.852538153273007e-06,4.2787699839035535e-15,65586651537.878494,0.00033407582727685366,solve,0.0001220703125,two_parameter_map,9950.0,10.0
13,8.852538153273007e-06,4.2787699837860755e-15,65586651527.87755,0.00033407582733365593,solve,0.0001220703125,two_parameter_map,9950.0,10.0
0,979.6215434343219,0.4000365420838207,1321270831291.8057,2.2581348380255626e-06,solve,0.000244140625,two_parameter_map,10000.0,10.0
1,979.4558506651815,0.30645660591537327,1724397340308.7656,2.257025995673446e-06,solve,0.000244140625,two_parameter_map,10000.0,10.0
2,979.3493553234143,0.2498360458756617,2114581931691.3882,2.2563397580652655e-06,solve,0.000244140625,two_parameter_map,10000.0,10.0
3,979.2318308814575,0.21149306762372963,2497146294089.839,2.2558652248195102e-06,solve,0.000244140625,two_parameter_map,10000.0,10.0
4,979.0952453906344,0.3673215845548014,2874622513794.6006,2.255513564980937e-06,solve,0.00048828125,two_parameter_map,10000.0,10.0
5,979.0452410549453,0.28744800042250934,3670894158489.1543,2.2549748235586553e-06,solve,0.00048828125,two_parameter_map,10000.0,10.0
6,978.8868500943596,0.23722867642140252,4445038934178.286,2.2546302448144315e-06,solve,0.00048828125,two_parameter_map,10000.0,10.0
7,978.6480610845039,0.40488299289566004,5205520761206.028,2.254386499811059e-06,solve,0.0009765625,two_parameter_map,10000.0,10.0
8,978.5793404495894,0.30880654629756443,6816127817374.721,2.254024686910828e-06,solve,0.0009765625,two_parameter_map,10000.0,10.0
9,978.1983519349868,0.2511014090362609,8372155158299.434,2.2538039161595807e-06,solve,0.0009765625,two_parameter_map,10000.0,10.0
10,977.6386209064647,0.42437042637388905,9895887323642.56,2.2536525890430763e-06,solve,0.001953125,two_parameter_map,10000.0,10.0
11,977.0851368809182,0.3191085922889292,13127847995241.693,2.2534306839076855e-06,solve,0.001953125,two_parameter_map,10000.0,10.0
12,975.9665772347485,0.5148208878227223,16236616176793.305,2.2532992462245447e-06,solve,0.00390625,two_parameter_map,10000.0,10.0
13,974.6485855702763,0.7271693278098755,22878283137367.11,2.2531228755523707e-06,solve,0.0078125,two_parameter_map,10000.0,10.0
